Reference	ID	Tags	Quote	Occurrence	Question	Response	Question
02:17	sa5y	basic,interpret	ἀλλ’ εἰ καὶ σπένδομαι ἐπὶ τῇ θυσίᾳ καὶ λειτουργίᾳ τῆς πίστεως ὑμῶν	1	Que veut dire Paul lorsqu'il dit que son **sang** est versé **comme sacrifice pour servir** leur **foi** ?		What does Paul mean when he says he is **being poured out like a drink offering on the sacrifice and service** of their **faith**?
2:17-18	l034	basic,observe	χαίρω καὶ συνχαίρω πᾶσιν ὑμῖν & τὸ δὲ αὐτὸ καὶ ὑμεῖς χαίρετε καὶ συνχαίρετέ μοι	1	Selon Paul, quelle est la réponse appropriée au fait que son sang versé **comme un sacrifice** pour **servir** la **foi** des Philippiens ?		What does Paul feel is the proper response to being **poured out out like a drink offering** on the **sacrifice and service** of the Philippians?
02:19	cda2	basic,observe	ἐλπίζω δὲ ἐν Κυρίῳ Ἰησοῦ, Τιμόθεον ταχέως πέμψαι ὑμῖν, ἵνα κἀγὼ εὐψυχῶ, γνοὺς τὰ περὶ ὑμῶν	1	Dans quel but Paul prévoyait-il **d'envoyer Timothée** aux Philippiens ?		What was that purpose for which Paul was planning **to send Timothy** to the Philippians?
02:20	kpw1	basic,observe	οὐδένα γὰρ ἔχω ἰσόψυχον, ὅστις γνησίως τὰ περὶ ὑμῶν μεριμνήσει	1	Pourquoi Paul a-t-il choisi d'envoyer Timothée aux Philippiens ?		Why did Paul choose to send Timothy to the Philippians?
02:20	w8yq	basic,observe	οὐδένα & ἔχω ἰσόψυχον, ὅστις γνησίως τὰ περὶ ὑμῶν μεριμνήσει	1	Dans quelle mesure Timothée manifeste-t-il les qualités que Paul énonce en 2.2-4 ?		How does Timothy display the positive values Paul lists in 2:2-4?
02:21	z1xr	basic,observe	οἱ πάντες γὰρ τὰ ἑαυτῶν ζητοῦσιν, οὐ τὰ Ἰησοῦ Χριστοῦ	1	Pourquoi Paul n'a-t-il pas choisi d'envoyer quelqu'un d'autre aux Philippiens ?		Why did Paul not choose to send someone else to the Philippians?
02:21	pn2a	basic,observe	οἱ πάντες & τὰ ἑαυτῶν ζητοῦσιν, οὐ τὰ Ἰησοῦ Χριστοῦ	1	En quoi ces autres personnes contredisent-elles les qualités énumérées par Paul en 2.2-4 ?		How do these other people contradict the positive values Paul lists in 2:2-4?
02:22	lx3p	basic,observe	τὴν δὲ δοκιμὴν αὐτοῦ γινώσκετε, ὅτι ὡς πατρὶ τέκνον, σὺν ἐμοὶ ἐδούλευσεν εἰς τὸ εὐαγγέλιον	1	Quelle image Paul utilise-t-il pour décrire la façon dont Timothée a **servi** Paul ?		What image does Paul use to describe the way Timothy had **served** Paul?
02:23	v9w2	basic,observe	τοῦτον μὲν οὖν ἐλπίζω πέμψαι, ὡς ἂν ἀφίδω τὰ περὶ ἐμὲ ἐξαυτῆς	1	Pourquoi Paul n'a-t-il pas immédiatement envoyé Timothée aux Philippiens ?		Why did Paul not send Timothy to the Philippians immediately?
02:24	l035	basic,observe	πέποιθα δὲ ἐν Κυρίῳ, ὅτι καὶ αὐτὸς ταχέως ἐλεύσομαι	1	Que pensait Paul de la possibilité qu'il se rende de nouveau chez les Philippiens ?		What did Paul think about the possibility of him also visiting the Philippians again?
02:25	rl4c	basic,observe	ἀναγκαῖον δὲ ἡγησάμην, Ἐπαφρόδιτον & πέμψαι πρὸς ὑμᾶς	1	Qui Paul envisageait-il d'envoyer à Philippes en plus de Timothée ?		Who did Paul plan to send to Philippi along with TImothy?
02:25	l038	basic,observe	Ἐπαφρόδιτον, τὸν ἀδελφὸν καὶ συνεργὸν καὶ συνστρατιώτην μου, ὑμῶν δὲ ἀπόστολον καὶ λειτουργὸν τῆς χρείας μου	1	Quels termes Paul utilise-t-il pour décrire **Épaphrodite** ?		What terms does Paul use to describe **Epaphroditus**?
02:25	tzh2	basic,interpret	ὑμῶν & ἀπόστολον καὶ λειτουργὸν τῆς χρείας μου	1	e quelle manière pensez-vous qu'Épaphrodite était le **messager et serviteur** des Philippiens pour répondre aux besoins de Paul ?		In what way do you think Epaphroditus was the **messenger and minister** from the Philippians to meet Paul‘s needs?
2:26-27	l040	basic,observe	ἀδημονῶν διότι ἠκούσατε ὅτι ἠσθένησεν & καὶ γὰρ ἠσθένησεν παραπλήσιον θανάτῳ	1	Qu'est-il arrivé à Épaphrodite pour que les Philippiens s'inquiètent à son sujet ?		What happened to Epaphriditus that caused the Philippians to be concerned about him?
02:27	w9tm	basic,interpret	καὶ γὰρ ἠσθένησεν παραπλήσιον θανάτῳ, ἀλλὰ ὁ Θεὸς ἠλέησεν αὐτόν, οὐκ αὐτὸν δὲ μόνον, ἀλλὰ καὶ ἐμέ, ἵνα μὴ λύπην ἐπὶ λύπην σχῶ	1	Comment Paul a-t-il personnellement réagi à la maladie d'Épaphrodite et au fait que Dieu l'ait finalement guéri ?		How did Paul personally react to Epaphroditus being sick, and to God eventually causing him to get well?
02:28	i7h4	basic,observe	σπουδαιοτέρως οὖν ἔπεμψα αὐτὸν, ἵνα ἰδόντες αὐτὸν πάλιν, χαρῆτε κἀγὼ ἀλυπότερος ὦ	1	L'expression **pour que** introduit l'objectif pour lequel Paul a renvoyé Épaphrodite aux Philippiens. Quel était ce but ?		The phrase **so that** introduces the purpose for which Paul sent Epaphroditus back to the Philippians. What was that purpose?
2:28-29	bp2n	basic,observe	χαρῆτε & μετὰ πάσης χαρᾶς	1	Dans quelle mesure le thème de la **joie** dans ces versets est-il comparable au même thème en 2.17-18 ?		How does the theme of **joy** in these verses compare to the same theme in 2:17-18?
2:29-30	jmq9	basic,observe	τοὺς τοιούτους ἐντίμους ἔχετε & ὅτι διὰ τὸ ἔργον Χριστοῦ μέχρι θανάτου ἤγγισεν, παραβολευσάμενος τῇ ψυχῇ, ἵνα ἀναπληρώσῃ τὸ ὑμῶν ὑστέρημα, τῆς πρός με λειτουργίας	1	Le mot **puisqu'** introduit la raison pour laquelle les Philippiens devaient honorer *les gens comme lui**. Quelle est cette raison ?		The word **because** introduces the reason the Philippians should **hold in honor the ones such as** Epaphroditus. What is that reason?
02:30	l042	basic,interpret	ἵνα ἀναπληρώσῃ τὸ ὑμῶν ὑστέρημα, τῆς πρός με λειτουργίας	1	Selon vous, comment Épaphrodite a-t-il pu **terminer le service que** les Philippiens n'ont **pas pu assurer envers** Paul ?		How do you think Epaphroditus made up the Philippian‘s **deficit of service** to Paul?
3:1	ytx7	basic,observe	ἀδελφοί μου	1	Quel titre Paul utilise-t-il pour s'adresser aux croyants de Philippes dans ce chapitre ?		What title does Paul use to address the Philippian believers in this chapter?
3:1	l043	basic,interpret	χαίρετε ἐν Κυρίῳ	1	Selon vous, pourquoi Paul exhorte-t-il si souvent les Philippiens à se réjouir dans cette lettre ?		Why do you think Paul so often tells the Philippians to **rejoice** in this letter?
3:1	d3rx	basic,observe	τὰ αὐτὰ γράφειν ὑμῖν, ἐμοὶ μὲν οὐκ ὀκνηρόν, ὑμῖν δὲ ἀσφαλές	1	Pourquoi Paul écrit-il à nouveau au sujet de certaines choses qu'il a déjà écrites dans cette lettre ?		Why does Paul write again about some of the things he has already written in this letter?
3:2	a3eb	basic,Interpret	βλέπετε τοὺς κύνας; βλέπετε τοὺς κακοὺς ἐργάτας; βλέπετε τὴν κατατομήν	1	Paul utilise trois expressions parallèles pour décrire un groupe de personnes qui représentent un danger pour les Philippiens. Qui sont ces **chiens**, **mauvais ouvrier** et **ceux qui mutilent la chair** ?		Paul uses three parallel phrases to describe a group of people who are a danger to the Philippians. Who are these **dogs**, and **workers of evil**, and **mutilators of the flesh**?
3:2-3	l044	basic,interpret	τὴν κατατομήν & ἡ περιτομή	1	Comment le contexte dans lequel Paul parle de la **circoncision** aide-t-il à déterminer l'identité de **ceux qui mutilent la chair** ?		How does the context of Paul speaking of **the circumcision** help identify the identity of **those mutilators of the flesh**?
3:3	fi5q	basic,observe	ἡμεῖς γάρ ἐσμεν ἡ περιτομή, οἱ Πνεύματι Θεοῦ λατρεύοντες καὶ καυχώμενοι ἐν Χριστῷ Ἰησοῦ, καὶ οὐκ ἐν σαρκὶ πεποιθότες	1	Qu'est-ce qui fait de Paul et des croyants de Philippes ceux qui sont **la vraie circoncision** ?		What things make Paul and the Philippian believers the ones who are the true **circumcision**?
3:3	l045	basic,interpret	ἡ περιτομή & ἐν σαρκὶ πεποιθότες	1	Dans le contexte de la **circoncision**, que veut dire mettre **sa confiance dans la chair** ?		In the context of **the circumcision**, what does it mean to have **confidence the flesh**?
3:3-4	l046	basic,interpret	οὐκ ἐν σαρκὶ πεποιθότες & καίπερ ἐγὼ ἔχων πεποίθησιν καὶ ἐν σαρκί. & εἴ τις δοκεῖ ἄλλος πεποιθέναι ἐν σαρκί, ἐγὼ μᾶλλον	1	Pourquoi Paul dit-il ne pas mettre sa **confiance dans la chair**, puis énumère-t-il immédiatement les raisons pour lesquelles il pourrait *faire confiance en** sa **chair** ?		Why does Paul say he does not have **confidence in the flesh** and then immediately list the reasons he could have for **confidence in the flesh**?
3:5-6	l048	basic,observe	περιτομῇ ὀκταήμερος ἐκ γένους Ἰσραήλ φυλῆς Βενιαμείν, Ἑβραῖος ἐξ Ἑβραίων, κατὰ νόμον Φαρισαῖος & κατὰ ζῆλος διώκων τὴν ἐκκλησίαν, κατὰ δικαιοσύνην τὴν ἐν νόμῳ γενόμενος ἄμεμπτος	1	Pour quelles raisons pourrait-il être confiant dans sa chair ?		What are the reasons listed for which he could be confident according to the flesh?
3:5	hl55	basic,interpret	περιτομῇ ὀκταήμερος ἐκ γένους Ἰσραήλ φυλῆς Βενιαμείν, Ἑβραῖος ἐξ Ἑβραίων, κατὰ νόμον Φαρισαῖος	1	En quoi les choses énumérées par Paul montrent-elles qu'il accomplissait exactement ce que la loi de Moïse exigeait ?		In what way do each of the things Paul lists show that he did exactly what the Law of Moses required?
3:6	ip26	basic,interpret	κατὰ ζῆλος διώκων τὴν ἐκκλησίαν	1	En quoi le fait qu'il persécutait **l'Église** montre-t-il que Paul était un Juif particulièrement bon ?		In what way does **persecuting the church** demonstrate that Paul was an exceptionally good Jew?
3:6-7	z74z	basic,interpret	κατὰ δικαιοσύνην τὴν ἐν νόμῳ γενόμενος ἄμεμπτος & ἅτινα ἦν μοι κέρδη, ταῦτα ἥγημαι διὰ τὸν Χριστὸν ζημίαν	1	Paul est-il en train de dire que les actions qu'il a énumérées l'ont rendu **infaillible** devant Dieu ?		Is Paul saying that these actions which he has listed actually made him **faultless** before God?
3:7	lwd9	basic,interpret	ἅτινα ἦν μοι κέρδη, ταῦτα ἥγημαι διὰ τὸν Χριστὸν ζημίαν	1	D'après vous, qu'est-ce qui pourrait amener Paul à changer complètement d'avis sur des choses qui ont été un **gain** pour lui et qui sont maintenant considérées comme une **perte** ?		What do you think would cause Paul to completely reverse his opinion of things that were **gain** for him to now be considered **loss**?
3:8	l049	basic,interpret	καὶ ἡγοῦμαι πάντα ζημίαν εἶναι	1	Outre son héritage juif, quelles sont **toutes les choses** que Paul considère désormais comme **une perte** par rapport à la connaissance de Christ-Jésus ?		In addition to his Jewish heritage, what kinds of things might make up the **all things** that Paul now considers to be **loss** for the sake of Christ?
3:8	l050	basic,observe	διὰ τὸ ὑπερέχον τῆς γνώσεως Χριστοῦ Ἰησοῦ τοῦ Κυρίου μου	1	Pourquoi Paul considère-t-il toutes ces choses comme une perte ?		What is that reason why Paul considers all things to be loss?
3:8	l051	basic,observe	τὰ πάντα ἐζημιώθην καὶ ἡγοῦμαι σκύβαλα	1	À quoi Paul compare-t-il toutes les choses auxquelles il accordait de la valeur ?		To what does Paul compare all the things that he used to value?
3:8-9	l053	basic,observe	ἵνα Χριστὸν κερδήσω & καὶ εὑρεθῶ ἐν αὐτῷ	1	Quel est le but de Paul dans sa vie ?		What is Paul’s goal in his life?
3:9	q516	basic,observe	μὴ ἔχων ἐμὴν δικαιοσύνην, τὴν ἐκ νόμου, ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστει	1	Quelle sorte de **justice** Paul veut-il posséder ?		What kind of **righteousness** does Paul want to possess?
03:10	l054	basic,observe	τοῦ γνῶναι αὐτὸν, καὶ τὴν δύναμιν τῆς ἀναστάσεως αὐτοῦ, καὶ κοινωνίαν παθημάτων αὐτοῦ, συμμορφιζόμενος τῷ θανάτῳ αὐτοῦ	1	Quelle connaissance de Jésus et à propos de Jésus Paul désirait-il avoir ?		What knowledge of and about Jesus does Paul desire to have?
03:10	cf3b	basic,interpret	καὶ κοινωνίαν παθημάτων αὐτοῦ, συμμορφιζόμενος τῷ θανάτῳ αὐτοῦ	1	Selon vous, pourquoi Paul considère-t-il que la souffrance est un élément important pour connaître Jésus ?		Why do you think Paul considered suffering to be an important part of knowing Jesus?
03:11	fqt7	basic,observe	εἴ πως καταντήσω εἰς τὴν ἐξανάστασιν τὴν ἐκ νεκρῶν	1	Quelle est l'état final que Paul veut atteindre ?		What is the final condition that Paul wants to reach?
03:12	l055	basic,observe	οὐχ ὅτι ἤδη ἔλαβον, ἢ ἤδη τετελείωμαι; διώκω δὲ	1	Dans quelle mesure Paul pense-t-il avoir progressé vers son objectif de connaître pleinement Jésus ?		How much progress does Paul believe he has made toward his goal of knowing Jesus fully?
03:12	l056	basic,interpret	εἰ καὶ καταλάβω, ἐφ’ ᾧ καὶ κατελήμφθην ὑπὸ Χριστοῦ Ἰησοῦ	1	Paul considère-t-il qu'il est le seul à faire des efforts pour devenir comme Jésus ?		Does Paul consider that he is the one who alone is making the effort to become like Jesus?
03:13	x53s	basic,interpret	ἀδελφοί, ἐγὼ ἐμαυτὸν οὐ λογίζομαι κατειληφέναι	1	Selon vous, pourquoi Paul dit-il à nouveau qu'il n'a pas encore pleinement connu Jésus, alors qu'il l'a déjà dit au verset 12 ?		Why do you think Paul says again that he has not yet fully known Jesus, having already said that in verse 12?
3:13-14	l057	basic,observe	ἓν δέ: τὰ μὲν ὀπίσω ἐπιλανθανόμενος, τοῖς δὲ ἔμπροσθεν ἐπεκτεινόμενος & κατὰ σκοπὸν διώκω εἰς τὸ βραβεῖον τῆς ἄνω κλήσεως τοῦ Θεοῦ ἐν Χριστῷ Ἰησοῦ	1	Quelle est l'attitude de Paul à l'égard de **la récompense pour laquelle Dieu en Christ-Jésus** l'a **appelé d'en haut** ?		What is Paul’s attitude toward **the goal to win the prize of God’s heavenly calling in Christ Jesus**?
03:14	l058	basic,interpret	τὸ βραβεῖον τῆς ἄνω κλήσεως τοῦ Θεοῦ ἐν Χριστῷ Ἰησοῦ	1	De quoi Paul veut-il parler lorsqu'il désigne cette **récompense pour laquelle Dieu en Christ-Jésus** l'a **appelé d'en haut** ?		What does Paul mean when he refers to **the prize of God’s heavenly calling in Christ Jesus**?
03:15	k866	basic,interpret	ὅσοι οὖν τέλειοι, τοῦτο φρονῶμεν	1	D'après le contexte de cette section, de quoi Paul parle-t-il lorsqu'il dit que les croyants qui ont **de la maturité** devraient **penser de cette manière** ?		From the context of this paragraph, what does Paul refer to when he says **mature** believers should **embrace this point of view**?
03:15	vrz6	basic,observe	εἴ τι ἑτέρως φρονεῖτε, καὶ τοῦτο ὁ Θεὸς ὑμῖν ἀποκαλύψει	1	Qui corrigera la pensée des croyants qui ont une compréhension erronée de ce qui constitue un gain ou une perte ?		Who will correct the thinking of people who have an incorrect understanding of what things are gain and what are loss?
03:15	l059	basic,apply	εἴ τι ἑτέρως φρονεῖτε	1	Quelles sont les choses que les personnes que vous connaissez considèrent comme un gain, mais qui sont en réalité une perte par rapport au fait de connaître Jésus ?		What are some of the things that people you know consider to be gain, but are really loss compared to knowing Jesus?
03:16	lx9k	basic,observe	πλὴν εἰς ὃ ἐφθάσαμεν, τῷ αὐτῷ στοιχεῖν	1	Comment devrions-nous réagir à la connaissance de Jésus que nous avons déjà acquise ?		How should we respond to the knowledge of Jesus that we have already gained?
03:17	f88l	basic,apply	συνμιμηταί μου γίνεσθε & καθὼς ἔχετε τύπον ἡμᾶς	1	Pensez-vous que votre vie serait un bon exemple si d'autres devenaient vos **imitateurs** ?		How confident are you that your life would be a good **example** if other people were to imitate you?
03:18	hck2	basic,observe	πολλοὶ γὰρ περιπατοῦσιν, οὓς πολλάκις ἔλεγον ὑμῖν, νῦν δὲ καὶ κλαίων, λέγω, τοὺς ἐχθροὺς τοῦ σταυροῦ τοῦ Χριστοῦ	1	Pourquoi Paul **pleure**-t-il ?		What caused Paul to weep?
03:18	l060	basic,interpret	πολλοὶ & περιπατοῦσιν & τοὺς ἐχθροὺς τοῦ σταυροῦ τοῦ Χριστοῦ	1	Selon vous, pourquoi Paul décrit-il ces **ennemis** comme étant des ennemis **de la croix du Christ** ?		As Paul seeks the fellowship of Christ’s suffering, why do you think he describes these **enemies** as being opposed to **the cross of Christ**?
03:19	v42f	basic,observe	ὧν τὸ τέλος ἀπώλεια	1	Selon Paul, vers quelle fin **avancent** ces ennemis de la croix du Christ ?		According to Paul, what is the **end** of these enemies of the cross of Christ?
03:19	g7yt	basic,interpret	ὧν ὁ Θεὸς ἡ κοιλία	1	Que veut dire Paul lorsqu'il affirme que **leur ventre est leur dieu** ?		What does Paul mean when he says that **their god is their belly**?
03:19	l061	basic,apply	ἡ δόξα ἐν τῇ αἰσχύνῃ αὐτῶν	1	Avez-vous des exemples de choses honteuses dans lesquelles les ennemis de la croix se **glorifient** aujourd'hui ?		What would be an example of shameful things in which enemies of the cross today **glory**?
03:19	tef1	basic,interpret	οἱ τὰ ἐπίγεια φρονοῦντες	1	Quels sont les exemples de **choses de ce monde** sur lesquelles les **pensées** de ces ennemis **sont fixées** ?		What might be examples of the **earthly things** about which these enemies were thinking?
03:20	kw3g	basic,observe	ἡμῶν γὰρ τὸ πολίτευμα ἐν οὐρανοῖς ὑπάρχει	1	Ici, **Alors que** oppose les ennemis de la croix à Paul et aux croyants de Philippes. Quelle est la différence chez Paul et les Philippiens ?		Here **But** contrasts the enemies of the cross with Paul and the Philippian believers. What is different about Paul and the Philippians?
03:20	b9ax	basic,interpret	ἡμῶν & τὸ πολίτευμα ἐν οὐρανοῖς ὑπάρχει	1	Selon vous, pourquoi Paul désigne-t-il les croyants comme des **citoyens des cieux** pour décrire leur relation avec Dieu ?		Why do you think Paul speaks about **citizenship** as a way to describe the believer’s relationship to God?
03:20	l062	basic,apply	ἐξ οὗ καὶ Σωτῆρα ἀπεκδεχόμεθα, Κύριον Ἰησοῦν Χριστόν	1	Dans quelle mesure attendez-vous **avec impatience la venue du ciel du sauveur, le Seigneur Jésus-Christ** ?		To what degree do you also **eagerly await a Savior from there, the Lord Jesus Christ**?
03:21	ka5b	basic,observe	ὃς μετασχηματίσει τὸ σῶμα τῆς ταπεινώσεως ἡμῶν, σύμμορφον τῷ σώματι τῆς δόξης αὐτοῦ	1	Quelle transformation miraculeuse le Christ opérera-t-il lors de son retour ?		What miraculous transformation will Christ make happen when he returns?
03:21	l063	basic,observe	σύμμορφον τῷ σώματι τῆς δόξης αὐτοῦ, κατὰ τὴν ἐνέργειαν τοῦ δύνασθαι αὐτὸν, καὶ ὑποτάξαι αὑτῷ τὰ πάντα	1	Comment le Christ peut-il transformer nos corps terrestres **pour le faire ressembler à son corps glorieux** ?		How is Christ able to transform our earthly bodies into the likeness of **His glorious body**?
4:1	wj5i	basic,observe	ὥστε	1	Ici, **Ainsi** renvoie à la déclaration sommaire de Paul au chapitre 3 sur la condition du croyant. Quelle était cette condition ?		Here **Therefore** refers back to Paul’s summary statement in chapter 3 about the condition of the believer. What was that condition?
4:1	sii5	basic,observe	ἀδελφοί μου ἀγαπητοὶ καὶ ἐπιπόθητοι, χαρὰ καὶ στέφανός μου & ἀγαπητοί	1	Comment Paul s'adresse-t-il aux Philippiens dans ce chapitre ?		How does Paul address the Philippian believers in this chapter?
4:1	ee51	basic,interpret	χαρὰ καὶ στέφανός μου	1	Selon vous, que voulait dire Paul lorsqu'il a affirmé que les Philippiens étaient sa **joie et** sa **couronne** ?		What do you think Paul meant when he said the Philippians were **my joy and crown**?
4:1	bx82	basic,observe	οὕτως στήκετε ἐν Κυρίῳ	1	Quel commandement récapitulatif Paul donne-t-il ici aux Philippiens ?		What summary command does Paul here give to the Philippians?
4:2	v99g	basic,interpret	Εὐοδίαν παρακαλῶ, καὶ Συντύχην παρακαλῶ, τὸ αὐτὸ φρονεῖν ἐν Κυρίῳ	1	Sur la base du commandement de Paul à **Évodie** et **Syntyche**, quel problème pensez-vous que ces deux femmes avaient ?		Based on Paul's command to **Euodia** and **Syntyche**, what problem do you think these two women were having?
4:2	ya5v	basic,interpret	τὸ αὐτὸ φρονεῖν ἐν Κυρίῳ	1	En quoi l'encouragement **à se mettre d'accord dans le Seigneur** vous rappelle-t-il le thème du chapitre 2 de cette lettre ?		In what way does the encouragement here **to agree with each other in the Lord** remind you of the theme of chapter 2 of this letter?
4:3	l064	basic,interpret	σέ, γνήσιε σύνζυγε	1	Nous ne connaissons pas l'identité du **cher collègue**. Certains pensent qu'il s'agit d'un nom personnel. Selon vous, pourquoi Paul s'adresse-t-il ici à cette personne, alors que le reste de la lettre est adressé à tous les croyants de Philippes ?		We do not know the identity of the **true yokefellow**. Some think it is a personal name. Why do you think Paul here addresses this individual, when the rest of the letter is addressed to all the Philippian believers?
4:3	l065	basic,interpret	ναὶ, ἐρωτῶ καὶ σέ, γνήσιε σύνζυγε, συνλαμβάνου αὐταῖς, αἵτινες ἐν τῷ εὐαγγελίῳ συνήθλησάν μοι	1	Selon vous, à la lumière du problème évoqué au verset 2, comment Paul voulait-il que son **cher collègue** aide Évodie et Syntyche ?		In light of the problem in verse 2, how do you think Paul wanted his **true yokefellow** to **help** Euodia and Syntyche?
4:3	r4ka	basic,interpret	ὧν τὰ ὀνόματα ἐν βίβλῳ ζωῆς	1	Pourquoi aurait-ce été un honneur pour ces personnes d'avoir leur nom écrits **dans le livre de vie** ?		Why would it have been an honor for these people to have their names **in the Book of Life**?
4:4	f69c	basic,interpret	χαίρετε ἐν Κυρίῳ πάντοτε, πάλιν ἐρῶ, χαίρετε!	1	En quoi la joie a-t-elle été un thème majeur de toute cette lettre ?		How has **Rejoice** been a major theme of this entire letter?
4:5	t5e8	basic,interpret	τὸ ἐπιεικὲς ὑμῶν γνωσθήτω πᾶσιν ἀνθρώποις	1	Selon vous, pourquoi Paul demande-t-il avec insistance aux Philippiens d'être **raisonnables** ?		Why do you think Paul singled out and emphasized the quality of **gentleness** as a command to the Philippians?
4:5	bnl2	basic,interpret	ὁ Κύριος ἐγγύς	1	En quoi le fait que le Seigneur soit **proche** constitue-t-il une raison d'agir de façon raisonnable devant tous les autres ?		Why would the nearness of **The Lord** be a reason to act with gentleness before all other people?
4:6	k63f	basic,observe	μηδὲν μεριμνᾶτε, ἀλλ’ ἐν παντὶ, τῇ προσευχῇ καὶ τῇ δεήσει μετὰ εὐχαριστίας, τὰ αἰτήματα ὑμῶν γνωριζέσθω πρὸς τὸν Θεόν	1	Selon Paul, que doivent faire les croyants pour ne s'inquiéter **de rien** ?		What specific actions does Paul say believers are to take in order to **Be anxious for nothing**?
4:6	l066	basic,observe	προσευχῇ καὶ τῇ δεήσει μετὰ εὐχαριστίας	1	Selon Paul, quelle attitude doit accompagner **la prière et la supplication** ? Pourquoi ?		According to Paul, what attitude should accompany **prayer and petition**? Why?
4:6	tiu4	basic,interpret	τὰ αἰτήματα ὑμῶν γνωριζέσθω πρὸς τὸν Θεόν	1	Si Dieu sait tout, pourquoi les croyants devraient-ils faire **connaître** leurs **besoins à Dieu** ?		God knows everything. So why should believers **present** their **requests to God**?
4:7	uq3j	basic,interpret	ἡ εἰρήνη τοῦ Θεοῦ ἡ ὑπερέχουσα πάντα νοῦν	1	Que veut dire Paul lorsqu'il affirme que **la paix de Dieu** **est plus grande que notre compréhension** ?		What does Paul mean when he says that **the peace of God** **surpasses all understanding**?
4:7	h54t	basic,interpret	ἡ εἰρήνη τοῦ Θεοῦ & φρουρήσει τὰς καρδίας ὑμῶν καὶ τὰ νοήματα ὑμῶν ἐν Χριστῷ Ἰησοῦ	1	Quelle est la différence entre le cœur et la pensée, et comment la paix de Dieu peut-elle les protéger tous les deux ?		What is the difference between **hearts** and **minds**, and how would the **peace of God** be able to guard both?
4:8	u9db	basic,observe	ὅσα ἐστὶν ἀληθῆ, ὅσα σεμνά, ὅσα δίκαια, ὅσα ἁγνά, ὅσα προσφιλῆ, ὅσα εὔφημα, εἴ τις ἀρετὴ, καὶ εἴ τις ἔπαινος, ταῦτα λογίζεσθε	1	Quelles sont les 8 qualités que Paul énumère pour décrire les choses auxquelles nous devrions penser ?		What are the eight positive qualities that Paul lists to describe the kind of things that we should think about?
4:8	kf73	basic,interpret	ὅσα ἐστὶν ἀληθῆ, ὅσα σεμνά, ὅσα δίκαια, ὅσα ἁγνά, ὅσα προσφιλῆ, ὅσα εὔφημα, εἴ τις ἀρετὴ, καὶ εἴ τις ἔπαινος, ταῦτα λογίζεσθε	1	Comprenez-vous que Paul dit que nous devrions penser à des choses qui ont toutes ces qualités, ou à n'importe quelle chose qui a l'une de ces qualités ?		Do you understand Paul to say that we should think about things with all of these qualities, or about any thing that has one of these qualities?
4:9	gc1e	basic,apply	ἃ καὶ ἐμάθετε καὶ παρελάβετε, καὶ ἠκούσατε καὶ εἴδετε, ἐν ἐμοί, ταῦτα πράσσετε	1	Dans quelle mesure pourriez-vous honnêtement dire aux gens qu'ils seraient agréables à Dieu s'ils mettaient **en pratique** ce qu'ils ont **appris, reçu, entendu et vu** en vous ?		To what degree could you honestly tell people that they would please God if they would do **Whatever you have learned or received or heard from me, or seen in me**?
4:9	g8rc	basic,observe	ὁ Θεὸς τῆς εἰρήνης ἔσται μεθ’ ὑμῶν	1	Selon Paul, que se passera-t-il si les Philippiens pensent à ce qui est digne et suivent l'exemple de Paul ?		According to Paul, what will happen if the Philippians think about worthy things and follow Paul’s example?
04:10	vxj4	basic,interpret	ἐχάρην δὲ ἐν Κυρίῳ μεγάλως	1	Selon vous, pourquoi Paul parle-t-il à nouveau ici de la joie - un thème central de sa lettre ?		Why do you think Paul here again speaks about rejoicing—a central theme of his letter?
04:10	jp51	basic,observe	ἐχάρην δὲ ἐν Κυρίῳ μεγάλως, ὅτι ἤδη ποτὲ ἀνεθάλετε τὸ ὑπὲρ ἐμοῦ φρονεῖν	1	Pourquoi Paul se réjouit-il autant ?		What is that reason that Paul is greatly rejoicing?
4:10, 18	l067	basic,observe	ἤδη ποτὲ ἀνεθάλετε τὸ ὑπὲρ ἐμοῦ φρονεῖν; ἐφ’ ᾧ καὶ ἐφρονεῖτε, ἠκαιρεῖσθε δέ & δεξάμενος παρὰ Ἐπαφροδίτου τὰ παρ’ ὑμῶν	1	Quelle **occasion** les Philippiens ont-ils eue de renouveler leur préoccupation au nom de Paul ?		What was the **opportunity** that the Philippians had which allowed them to renew their concern on Paul’s behalf?
04:11	hgz7	basic,observe	ἐγὼ γὰρ ἔμαθον ἐν οἷς εἰμι, αὐτάρκης εἶναι	1	Qu'est-ce que Paul a appris sur le contentement?		What has Paul learned about being **content**?
04:12	zhr5	basic,observe	οἶδα καὶ ταπεινοῦσθαι, οἶδα καὶ περισσεύειν. ἐν παντὶ καὶ ἐν πᾶσιν μεμύημαι, καὶ χορτάζεσθαι καὶ πεινᾶν, καὶ περισσεύειν καὶ ὑστερεῖσθαι	1	Quelles sont les trois paires de mots que Paul utilise pour décrire les situations extrêmes qu'il a vécues ?		What three different pairs of terms does Paul use to describe the extreme situations which he has experienced?
04:12	k3fv	basic,interpret	οἶδα & μεμύημαι	1	De quelle manière Paul indique-t-il qu'il a acquis ces connaissances par une expérience personnelle sur une certaine durée ?		In what way does Paul indicate that he gained this knowledge by personal experience over a period of time?
