Reference	ID	Tags	Quote	Occurrence	Question	Response
6:5	h4h3	basic,interpret	οὐκ ἐδύνατο ἐκεῖ ποιῆσαι οὐδεμίαν δύναμιν, εἰ μὴ ὀλίγοις ἀρρώστοις, ἐπιθεὶς τὰς χεῖρας, ἐθεράπευσεν	1	Selon vous, pourquoi le rejet des gens a-t-il conduit Jésus à n'en guérir que quelques-uns ?	
6:5	i5ec	basic,apply	καὶ οὐκ ἐδύνατο ἐκεῖ ποιῆσαι οὐδεμίαν δύναμιν, εἰ μὴ ὀλίγοις ἀρρώστοις, ἐπιθεὶς τὰς χεῖρας, ἐθεράπευσεν	1	Y a-t-il eu un moment où votre manque de foi a pu freiner l'action puissante de Dieu dans votre vie ?	
6:6	l79f	basic,observe	ἐθαύμασεν διὰ τὴν ἀπιστίαν αὐτῶν	1	La réaction des habitants de la ville natale de Jésus a-t-elle surpris Jésus ?	
6:6	eq3o	basic,observe	περιῆγεν τὰς κώμας, κύκλῳ διδάσκων	1	Qu'a fait Jésus dans sa ville natale lorsque les gens l'ont rejeté ?	
6:7	rri9	basic,interpret	προσκαλεῖται τοὺς δώδεκα, καὶ ἤρξατο αὐτοὺς ἀποστέλλειν δύο δύο	1	Selon vous, pourquoi Jésus a-t-il envoyé **les Douze** apôtres **deux par deux** plutôt qu'individuellement ?	
6:7	kzlh	basic,observe	ἐδίδου αὐτοῖς ἐξουσίαν τῶν πνευμάτων τῶν ἀκαθάρτων	1	Comment Jésus a-t-il préparé ses apôtres pour leur travail alors qu'il les envoyait en mission ?	
6:8-9	f2fa	basic,observe	μηδὲν αἴρωσιν εἰς ὁδὸν, εἰ μὴ ῥάβδον μόνον, μὴ ἄρτον, μὴ πήραν, μὴ εἰς τὴν ζώνην χαλκόν, & ἀλλὰ ὑποδεδεμένους σανδάλια, καὶ μὴ ἐνδύσησθε δύο χιτῶνας	1	Qu'avaient-ils le droit et l'interdiction d'emporter pour leur voyage ?	
6:8-9	mrej	basic,interpret	παρήγγειλεν αὐτοῖς ἵνα μηδὲν αἴρωσιν εἰς ὁδὸν, εἰ μὴ ῥάβδον μόνον & ὑποδεδεμένους σανδάλια & δύο χιτῶνας	1	Selon vous, pourquoi Jésus leur a-t-il dit de ne rien emporter pour leur voyage, à l'exception d'un **bâton**, de **sandales** et d'une seule tunique ?	
6:10	jkgk	basic,observe	ὅπου ἐὰν εἰσέλθητε εἰς οἰκίαν, ἐκεῖ μένετε ἕως ἂν ἐξέλθητε ἐκεῖθεν	1	Où les apôtres étaient-ils censés séjourner durant leur voyage ?	
6:11	qide	basic,observe	ὃς ἂν τόπος μὴ δέξηται ὑμᾶς, μηδὲ ἀκούσωσιν ὑμῶν, ἐκπορευόμενοι ἐκεῖθεν	1	Pour quelle raison les apôtres devaient-ils quitter la maison dans laquelle ils logeaient ?	
6:11	d9k3	basic,observe	ἐκτινάξατε τὸν χοῦν τὸν ὑποκάτω τῶν ποδῶν ὑμῶν	1	Quel acte symbolique les apôtres devaient-ils accomplir lorsqu'une personne ne les recevait pas ou ne les écoutait pas ?	
6:11	mclv	basic,interpret	ἐκτινάξατε τὸν χοῦν τὸν ὑποκάτω τῶν ποδῶν ὑμῶν, εἰς μαρτύριον αὐτοῖς	1	Que signifie l'acte des apôtres de secouer **la poussière** de leurs pieds lorsqu'ils quittaient une maison ?	
6:12	fd0w	basic,observe	ἐκήρυξαν ἵνα μετανοῶσιν	1	Quel message spécifique les apôtres proclamaient-ils quand ils quittaient les lieux ?	
6:13	i36p	basic,observe	δαιμόνια πολλὰ ἐξέβαλλον, καὶ ἤλειφον ἐλαίῳ πολλοὺς ἀρρώστους καὶ ἐθεράπευον	1	Quels miracles les apôtres ont-ils accomplis pour démontrer leur autorité apostolique ?	
6:13	pkae	basic,observe	ἤλειφον ἐλαίῳ πολλοὺς ἀρρώστους καὶ ἐθεράπευον	1	Comment les apôtres guérissaient-ils les malades ?	
6:14	moq7	basic,observe	ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ	1	Au fur et à mesure que les apôtres prêchaient et guérissaient, de qui le **nom** devenait-il **bien connu** ?	
6:14	djn7	basic,observe	ἔλεγον, ὅτι Ἰωάννης ὁ βαπτίζων ἐγήγερται ἐκ νεκρῶν, καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ	1	Selon vous, pourquoi les gens pensaient-ils que Jésus était capable de faire des miracles ?	
6:14	z465	basic,interpret	φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ	1	Selon vous, pourquoi les gens attribuaient-ils à Jésus les œuvres miraculeuses que faisaient ses apôtres ?	
6:15	kz4j	basic,observe	ὅτι Ἠλείας ἐστίν & ὅτι προφήτης, ὡς εἷς τῶν προφητῶν	1	Pour d'autres personnes, qui était Jésus ?	
6:15	ld9h	basic,interpret	ἄλλοι & ἔλεγον, ὅτι Ἠλείας ἐστίν; ἄλλοι δὲ ἔλεγον, ὅτι προφήτης, ὡς εἷς τῶν προφητῶν	1	Qu'est-ce qui a poussé certaines personnes à penser que Jésus était **Elie** ou un des **prophètes** ?	
6:16	nud9	basic,observe	ὅτι ὃν ἐγὼ ἀπεκεφάλισα, Ἰωάννην οὗτος ἠγέρθη!	1	Pour Hérode, qui était Jésus ?	
6:17-18	fesk	basic,observe	αὐτὸς γὰρ ὁ Ἡρῴδης, ἀποστείλας ἐκράτησεν τὸν Ἰωάννην, καὶ ἔδησεν αὐτὸν ἐν φυλακῇ διὰ Ἡρῳδιάδα	1	Pourquoi **Hérode** a-t-il mis **Jean** en prison ?	
6:17	hfdf	basic,observe	διὰ Ἡρῳδιάδα, τὴν γυναῖκα Φιλίππου, τοῦ ἀδελφοῦ αὐτοῦ, ὅτι αὐτὴν ἐγάμησεν	1	Quel était le lien de parenté entre **Hérodias** et Hérode ?	
6:18	te39	basic,observe	ἔλεγεν γὰρ ὁ Ἰωάννης τῷ Ἡρῴδῃ, ὅτι οὐκ ἔξεστίν σοι ἔχειν τὴν γυναῖκα τοῦ ἀδελφοῦ σου	1	Qu'a dit Jean au sujet du mariage d'Hérode avec Hérodias ?	
6:18	zsrk	basic,apply	ἔλεγεν γὰρ ὁ Ἰωάννης τῷ Ἡρῴδῃ, ὅτι οὐκ ἔξεστίν σοι ἔχειν τὴν γυναῖκα τοῦ ἀδελφοῦ σου	1	Êtes-vous prêt, comme Jean, à dire la vérité de Dieu même si cela vous met en danger ?	
6:19	b8gv	basic,observe	ἡ δὲ Ἡρῳδιὰς ἐνεῖχεν αὐτῷ, καὶ ἤθελεν αὐτὸν ἀποκτεῖναι	1	Comment **Hérodias** a-t-elle réagi quand Jean a souligné qu'Hérode n'avait pas le droit de l'épouser ?	
6:19-20	f0oq	basic,observe	οὐκ ἠδύνατο; & ὁ γὰρ Ἡρῴδης ἐφοβεῖτο τὸν Ἰωάννην, εἰδὼς αὐτὸν ἄνδρα δίκαιον καὶ ἅγιον, καὶ συνετήρει αὐτόν	1	Pourquoi Hérodias n'a-t-elle pas pu tuer Jean ?	
6:20	xli0	basic,interpret	ὁ γὰρ Ἡρῴδης ἐφοβεῖτο τὸν Ἰωάννην & συνετήρει αὐτόν	1	Selon vous, pourquoi Hérode a-t-il mis Jean en prison s'il le craignait et le **protégeait** ?	
6:20	h0ne	basic,interpret	ἀκούσας αὐτοῦ, πολλὰ ἠπόρει, καὶ ἡδέως αὐτοῦ ἤκουεν	1	Selon vous, pourquoi Hérode a-t-il été **dans un grand embarras** en écoutant Jean ?	
6:20	h2yb	basic,apply	καὶ ἀκούσας αὐτοῦ, πολλὰ ἠπόρει, καὶ ἡδέως αὐτοῦ ἤκουεν	1	Y a-t-il un domaine de votre vie où vous entendez Dieu vous parler, mais où vous n'êtes pas prêt à faire les changements qu'il vous demande de faire ?	
6:21	gw3a	basic,observe	γενομένης ἡμέρας εὐκαίρου, ὅτε Ἡρῴδης τοῖς γενεσίοις αὐτοῦ δεῖπνον ἐποίησεν, τοῖς μεγιστᾶσιν αὐτοῦ, καὶ τοῖς χιλιάρχοις, καὶ τοῖς πρώτοις τῆς Γαλιλαίας	1	Comment Hérode a-t-il donné un **jour favorable** à Hérodias ?	
6:21-22	lnnr	basic,interpret	γενομένης ἡμέρας εὐκαίρου	1	Pourquoi Marc décrit-il les événements des versets 21-22 comme un **jour favorable** pour Hérodias ?	
6:22	putf	basic,observe	εἰσελθούσης τῆς θυγατρὸς αὐτοῦ Ἡρῳδιάδος, καὶ ὀρχησαμένης καὶ ἀρεσάσης τῷ Ἡρῴδῃ καὶ τοῖς συνανακειμένοις	1	Qu'a fait la **fille d'Hérodias** pour obtenir l'approbation d'Hérode ?	
6:22-23	hjyp	basic,observe	εἶπεν ὁ βασιλεὺς τῷ κορασίῳ, αἴτησόν με ὃ ἐὰν θέλῃς, καὶ δώσω σοι. & καὶ ὤμοσεν αὐτῇ, ὅτι ἐάν με αἰτήσῃς, δώσω σοι, ἕως ἡμίσους τῆς βασιλείας μου.	1	Quelle promesse Hérode a-t-il faite à la fille d'Hérodias ?	
6:23	y6vv	basic,interpret	ἕως ἡμίσους τῆς βασιλείας μου	1	Que pouvait demander la fille d'Hérodias, si elle pouvait demander **jusqu'à la moitié de mon royaume** ?	
6:24	y0r5	basic,observe	εἶπεν τῇ μητρὶ αὐτῆς, τί αἰτήσωμαι?	1	Comment la fille a-t-elle décidé ce qu'elle allait demander ?	
6:24	ho67	basic,interpret	ἡ δὲ εἶπεν, τὴν κεφαλὴν Ἰωάννου τοῦ βαπτίζοντος.	1	Selon vous, pourquoi Hérodias lui a-t-elle demandé de réclamer la **tête de Jean (celui qui baptise)** parmi toutes les choses qu'elle aurait pu réclamer ?	
6:24	v30z	advanced,apply	τὴν κεφαλὴν Ἰωάννου τοῦ βαπτίζοντος	1	Selon vous, comment quelqu'un peut-il être submergé par la haine, au point de désirer la mort d'une autre personne plus que toute autre chose ?	
6:25	e9ux	basic,observe	εἰσελθοῦσα εὐθὺς μετὰ σπουδῆς πρὸς τὸν βασιλέα, ᾐτήσατο λέγουσα, θέλω ἵνα ἐξαυτῆς δῷς μοι ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ Βαπτιστοῦ	1	Comment la fille d'Hérodias a-t-elle réagi à la demande inhabituelle de sa mère ?	
6:26	j631	basic,observe	περίλυπος γενόμενος ὁ βασιλεὺς	1	Le **roi** était-il ravi de la demande de la jeune fille ?	
6:26	sd4g	basic,observe	διὰ τοὺς ὅρκους καὶ τοὺς συνανακειμένους οὐκ ἠθέλησεν ἀθετῆσαι αὐτήν	1	Pourquoi le roi ne *voulait pas lui dire non* ?	
6:27	gd5f	basic,observe	εὐθὺς ἀποστείλας ὁ βασιλεὺς σπεκουλάτορα, ἐπέταξεν ἐνέγκαι τὴν κεφαλὴν αὐτοῦ	1	Comment le roi a-t-il répondu à la demande de la fille d'Hérodias ?	
6:27	zg9s	basic,observe	ἀπελθὼν, ἀπεκεφάλισεν αὐτὸν ἐν τῇ φυλακῇ	1	Qu'a fait le bourreau suite à l'ordre d'Hérode ?	
6:28	x1y3	basic,observe	ἤνεγκεν τὴν κεφαλὴν αὐτοῦ ἐπὶ πίνακι, καὶ ἔδωκεν αὐτὴν τῷ κορασίῳ, καὶ τὸ κοράσιον ἔδωκεν αὐτὴν τῇ μητρὶ αὐτῆς	1	Qu'est-il arrivé à la tête de Jean-Baptiste ?	
6:29	lnp3	basic,observe	οἱ μαθηταὶ αὐτοῦ ἦλθον, καὶ ἦραν τὸ πτῶμα αὐτοῦ, καὶ ἔθηκαν αὐτὸ ἐν μνημείῳ	1	Qu'est-il arrivé au corps de Jean-Baptiste après sa décapitation ?	
6:30	htfa	basic,interpret	συνάγονται οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν καὶ ἀπήγγειλαν αὐτῷ, πάντα ὅσα ἐποίησαν καὶ ὅσα ἐδίδαξαν	1	Où les apôtres étaient-ils allés au verset 12 avant de revenir ici auprès de Jésus ?	
6:30	b9k1	basic,observe	ἀπήγγειλαν αὐτῷ, πάντα ὅσα ἐποίησαν καὶ ὅσα ἐδίδαξαν	1	Que racontent les apôtres à Jésus au sujet de leur voyage ?	
6:31	c2u5	basic,observe	δεῦτε ὑμεῖς αὐτοὶ κατ’ ἰδίαν εἰς ἔρημον τόπον, καὶ ἀναπαύσασθε ὀλίγον	1	Pourquoi Jésus a-t-il voulu que les apôtres se rendent dans un **lieu désert** ?	
6:31	xysz	basic,interpret	ἀναπαύσασθε ὀλίγον	1	Pourquoi les apôtres avaient-ils besoin de se reposer à ce moment-là ?	
6:31	ayno	basic,apply	δεῦτε ὑμεῖς αὐτοὶ κατ’ ἰδίαν εἰς ἔρημον τόπον, καὶ ἀναπαύσασθε ὀλίγον	1	Êtes-vous à un moment de votre vie où vous avez travaillé si dur dans le ministère pour Jésus que vous avez besoin de prendre du temps pour vous reposer et lui permettre de vous rafraîchir ?	
6:32	j9ji	basic,observe	ἀπῆλθον ἐν τῷ πλοίῳ	1	Comment Jésus et ses apôtres se sont-ils rendus dans ce lieu désert ?	
6:32	lbji	basic,interpret	ἀπῆλθον ἐν τῷ πλοίῳ εἰς ἔρημον τόπον κατ’ ἰδίαν	1	Selon vous, pourquoi Jésus et ses apôtres sont-ils allés dans ce lieu désert **dans une barque** plutôt qu'à pied ?	
6:33	fa7j	basic,observe	εἶδον αὐτοὺς ὑπάγοντας, καὶ ἐπέγνωσαν πολλοί, καὶ πεζῇ ἀπὸ πασῶν τῶν πόλεων συνέδραμον ἐκεῖ	1	Qu'ont fait les foules lorsqu'elles ont vu Jésus et ses apôtres partir ?	
6:33	o3po	basic,interpret	προῆλθον αὐτούς	1	Pensez-vous que Jésus voulait que les foules le suivent et arrivent avant eux ?	
6:34	je41	basic,observe	εἶδεν πολὺν ὄχλον καὶ ἐσπλαγχνίσθη ἐπ’ αὐτοὺς, ὅτι ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα; καὶ ἤρξατο διδάσκειν αὐτοὺς πολλά	1	Comment Jésus a-t-il réagi à cette présence inattendue, là où il voulait être seul avec ses apôtres et se reposer ?	
6:34	h61j	advanced,interpret	ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα	1	Pourquoi est-il important que les **brebis** aient un **berger** ?	
6:35	yv5j	basic,observe	ἤδη ὥρας πολλῆς γενομένης & ἤδη ὥρα πολλή	1	Combien de temps Jésus a-t-il enseigné les gens dans le lieu désert ?	
6:36	iiqc	basic,observe	ἀπόλυσον αὐτούς, ἵνα ἀπελθόντες εἰς τοὺς κύκλῳ ἀγροὺς καὶ κώμας, ἀγοράσωσιν ἑαυτοῖς τι φάγωσιν	1	Quelle inquiétude les apôtres ont-ils eue au sujet de la foule, alors que la fin de la journée approchait ?	
6:36	pgus	basic,interpret	ἀπόλυσον αὐτούς	1	Selon vous, pourquoi les apôtres ont-ils jugé nécessaire de renvoyer la foule hors de ce lieu ?	
6:37	vw1x	basic,observe	ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς, δότε αὐτοῖς ὑμεῖς φαγεῖν	1	Quelle a été la réponse de Jésus à la suggestion des apôtres de renvoyer les foules ?	
6:37	kb9d	basic,observe	ἀγοράσωμεν δηναρίων διακοσίων ἄρτους, καὶ δώσομεν αὐτοῖς φαγεῖν	1	Quelle somme les apôtres ont-ils estimé nécessaire pour acheter de la nourriture pour toute la foule ?	
6:37	wr3g	basic,interpret	ἀγοράσωμεν δηναρίων διακοσίων ἄρτους, καὶ δώσομεν αὐτοῖς φαγεῖν?	1	Puisqu'un denier correspondait à une journée de salaire, était-il raisonnable pour les apôtres de dépenser une telle somme pour nourrir la foule ?	
6:38	pr4u	basic,interpret	πόσους ἄρτους ἔχετε? ὑπάγετε, ἴδετε	1	D'après sa réponse, Jésus s'attendait-il à ce que les apôtres partent acheter de la nourriture pour la foule ?	
6:38	o3pz	basic, observe	πέντε καὶ δύο ἰχθύας	1	Quelle quantité de nourriture les apôtres avaient-ils ? Combien de personnes ont-elles pu manger ?	
6:39-40	veic	basic,observe	ἐπέταξεν αὐτοῖς ἀνακλῖναι πάντας, συμπόσια συμπόσια ἐπὶ τῷ χλωρῷ χόρτῳ & ἀνέπεσαν πρασιαὶ πρασιαὶ, κατὰ ἑκατὸν καὶ κατὰ πεντήκοντα	1	Quelles consignes Jésus a-t-il données aux gens avant le repas ?	
6:41	klaa	basic,observe	λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν, εὐλόγησεν	1	Qu'a fait Jésus avec **les cinq pains et les deux poissons** avant de nourrir les gens ?	
6:41	vbpa	basic,observe	κατέκλασεν τοὺς ἄρτους, καὶ ἐδίδου τοῖς μαθηταῖς αὐτοῦ, ἵνα παρατιθῶσιν αὐτοῖς; καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν	1	Quel rôle les **disciples** de Jésus ont-ils joué pour nourrir les gens ?	
6:42	pe2c	basic,observe	ἔφαγον πάντες καὶ ἐχορτάσθησαν	1	Dans quelle mesure les cinq pains et les deux poissons ont-ils suffi à nourrir les gens ?	
6:43	re0k	basic,observe	ἦραν κλάσματα δώδεκα κοφίνων πληρώματα, καὶ ἀπὸ τῶν ἰχθύων	1	Quelle quantité de nourriture restait-il après que les gens étaient rassasiés ?	
6:43	g87e	basic,interpret	ἦραν κλάσματα δώδεκα κοφίνων πληρώματα, καὶ ἀπὸ τῶν ἰχθύων	1	Comparez la quantité de nourriture restante à la quantité initiale (verset 41). Que pouvez-vous en dire ?	
6:44	z3wu	basic,observe	ἦσαν οἱ φαγόντες τοὺς ἄρτους, πεντακισχίλιοι ἄνδρες	1	Combien de personnes Jésus a-t-il nourries avec les cinq pains et les deux poissons ?	
6:45	ajj8	basic,observe	εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον, καὶ προάγειν εἰς τὸ πέραν πρὸς Βηθσαϊδάν	1	Où Jésus a-t-il envoyé ses disciples ?	
6:45	y6uz	basic,interpret	εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον, καὶ προάγειν εἰς τὸ πέραν πρὸς Βηθσαϊδάν, ἕως αὐτὸς ἀπολύει τὸν ὄχλον	1	Êtes-vous surpris que Jésus ait **aussitôt** renvoyé ses disciples et la foule, alors qu'il venait de tous les nourrir miraculeusement ? Selon vous, pourquoi a-t-il fait cela ?	
6:46	g85q	basic,observe	ἀπῆλθεν εἰς τὸ ὄρος προσεύξασθαι	1	Qu'a fait Jésus après avoir renvoyé ses disciples et la foule ?	
6:47	cbgq	basic,observe	ὀψίας γενομένης, ἦν τὸ πλοῖον ἐν μέσῳ τῆς θαλάσσης	1	Jusqu'où les disciples ont-ils navigué avant la tombée de la nuit ?	
6:48	a01e	basic,observe	ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος αὐτοῖς	1	Quelle difficulté les disciples ont-ils rencontrée lorsqu'ils traversaient la mer ?	
6:48	qvjy	basic,observe	περὶ τετάρτην φυλακὴν τῆς νυκτὸς, ἔρχεται πρὸς αὐτοὺς	1	La **fin de la nuit** se situe entre 3 et 6 heures du matin. Depuis combien de temps les disciples ramaient-ils lorsque Jésus est venu à eux ?	
6:48	hgs3	basic,observe	ἔρχεται πρὸς αὐτοὺς, περιπατῶν ἐπὶ τῆς θαλάσσης	1	Comment Jésus est-il venu vers les disciples ?	
6:48	x4eb	basic,observe	ἤθελεν παρελθεῖν αὐτούς	1	Jésus avait-il l'intention de venir aider ses disciples ?	
6:49	u88n	basic,observe	οἱ, δὲ ἰδόντες αὐτὸν ἐπὶ τῆς θαλάσσης περιπατοῦντα, ἔδοξαν ὅτι φάντασμά ἐστιν, καὶ ἀνέκραξαν	1	Pourquoi les disciples ont-ils crié en voyant Jésus ?	
6:50	zkzr	basic,observe	ὁ δὲ εὐθὺς ἐλάλησεν μετ’ αὐτῶν, καὶ λέγει αὐτοῖς, θαρσεῖτε, ἐγώ εἰμι; μὴ φοβεῖσθε	1	Comment Jésus a-t-il répondu à ses disciples quand ils ont crié ?	
6:51	ju1k	basic,observe	ἀνέβη πρὸς αὐτοὺς εἰς τὸ πλοῖον	1	Alors que Jésus avait l'intention de passer à côté de ses disciples, qu'a-t-il fait lorsqu'ils ont crié ?	
6:51	yt5d	basic,observe	ἐκόπασεν ὁ ἄνεμος	1	Lorsque Jésus est monté dans la barque, qu'est-il advenu du vent qui avait soufflé sur les disciples toute la nuit ?	
6:51	bscu	basic,interpret	λείαν ἐν ἑαυτοῖς ἐξίσταντο	1	Selon vous, les disciples ont-ils été **très étonnés** parce que le vent s'est calmé, ou parce que Jésus a marché sur la mer ?	
6:52	b0m7	basic,observe	οὐ γὰρ συνῆκαν ἐπὶ τοῖς ἄρτοις, ἀλλ’ ἦν αὐτῶν ἡ καρδία πεπωρωμένη	1	Selon Marc, pourquoi les disciples **ne comprenaient pas ce qui était arrivé au sujet des pains** ?	
6:52	kqs5	basic,interpret	οὐ & συνῆκαν ἐπὶ τοῖς ἄρτοις	1	Que devaient comprendre les disciples au sujet des pains ?	
6:52	h9e9	advanced,interpret	οὐ & συνῆκαν ἐπὶ τοῖς ἄρτοις	1	Si les disciples avaient compris **ce qui était arrivé au sujet des pains**, en quoi auraient-ils été mieux préparés à l'arrivée de Jésus marchant sur la mer ?	
6:53	mn84	basic,interpret	διαπεράσαντες ἐπὶ τὴν γῆν, ἦλθον εἰς Γεννησαρὲτ	1	Au verset 45, Jésus dit à ses disciples d'aller à Bethsaïda. Mais où sont-ils arrivés après la nuit passée sous des vents violents ?	
6:54-55	lg0i	basic,observe	εὐθὺς ἐπιγνόντες αὐτὸν & περιέδραμον ὅλην τὴν χώραν ἐκείνην, καὶ ἤρξαντο ἐπὶ τοῖς κραβάττοις τοὺς κακῶς ἔχοντας περιφέρειν, ὅπου ἤκουον ὅτι ἐστίν	1	Qu'ont fait les habitants de Génésareth immédiatement après l'arrivée de Jésus ?	
6:56	cen3	basic,observe	ἐν ταῖς ἀγοραῖς ἐτίθεσαν τοὺς ἀσθενοῦντας, καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται	1	Pourquoi les gens amenaient-ils **les malades sur les places publiques** ?	
6:56	a72h	basic,observe	ὅσοι ἂν ἥψαντο αὐτοῦ ἐσῴζοντο	1	Qu'est-il arrivé à tous ceux qui ont touché le vêtement de Jésus ?	
7:1	na87	basic,observe	συνάγονται πρὸς αὐτὸν οἱ Φαρισαῖοι καί τινες τῶν γραμματέων, ἐλθόντες ἀπὸ Ἱεροσολύμων	1	Qui est venu voir Jésus depuis **Jérusalem** ?	
7:2	v9ed	basic,observe	τινὰς τῶν μαθητῶν αὐτοῦ ὅτι κοιναῖς χερσίν, τοῦτ’ ἔστιν ἀνίπτοις, ἐσθίουσιν τοὺς ἄρτους	1	Que faisaient les **disciples** de Jésus qui préoccupait les pharisiens et les scribes ?	
7:3	b3g1	basic,observe	οἱ γὰρ Φαρισαῖοι καὶ πάντες οἱ Ἰουδαῖοι, ἐὰν μὴ πυγμῇ νίψωνται τὰς χεῖρας οὐκ ἐσθίουσιν	1	Que font toujours les **pharisiens et tous les juifs** avant de manger ?	
7:3	xr4g	basic,observe	κρατοῦντες τὴν παράδοσιν τῶν πρεσβυτέρων	1	Pourquoi les pharisiens et tous les juifs se lavaient-ils les mains avant de manger ?	
7:4	c7rh	basic,observe	ἐὰν μὴ βαπτίσωνται οὐκ ἐσθίουσιν, καὶ ἄλλα πολλά ἐστιν ἃ παρέλαβον κρατεῖν, βαπτισμοὺς ποτηρίων καὶ ξεστῶν καὶ χαλκίων	1	Quelles sont les autres choses que les pharisiens et tous les Juifs lavaient selon la tradition ?	
7:5	nmrs	basic,observe	διὰ τί οὐ περιπατοῦσιν οἱ μαθηταί σου κατὰ τὴν παράδοσιν τῶν πρεσβυτέρων, ἀλλὰ κοιναῖς χερσὶν ἐσθίουσιν τὸν ἄρτον?	1	Quelle accusation les pharisiens et les scribes ont-ils portée contre les disciples de Jésus ?	
7:6	sx6y	basic,observe	ἐπροφήτευσεν Ἠσαΐας	1	Qui Jésus a-t-il cité pour répondre aux pharisiens et aux scribes ?	
7:6	bbq5	basic,observe	περὶ ὑμῶν τῶν ὑποκριτῶν	1	Comment Jésus a-t-il appelé les pharisiens et les scribes ?	
7:6	pemg	basic,interpret	οὗτος ὁ λαὸς τοῖς χείλεσίν με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπ’ ἐμοῦ	1	D'après la prophétie citée par Jésus, qu'ont fait les pharisiens et les scribes qui les ont rendus hypocrites ?	
7:7	d82g	basic,interpret	μάτην δὲ σέβονταί με	1	Que signifie adorer quelqu'un **en vain** ?	
7:7	b4bp	basic,observe	διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων	1	Quelle était la source des **préceptes** enseignés par les pharisiens et les scribes ?	
7:8	qk16	basic,observe	ἀφέντες τὴν ἐντολὴν τοῦ Θεοῦ	1	De quelle manière les pharisiens et les scribes avaient-ils traité **les commandements de Dieu** ?	
7:8	u40o	basic,observe	κρατεῖτε τὴν παράδοσιν τῶν ἀνθρώπων	1	À quoi les pharisiens et les scribes avaient-ils obéi à la place des commandements de Dieu ?	
7:9	ucnr	basic,interpret	καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ Θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν τηρήσητε	1	"Ici, Jésus utilise le sarcasme pour critiquer les pharisiens. Que veut-il vraiment dire lorsqu'il déclare : ""**Vous annulez bien les commandements de Dieu**"" ?"	
7:9	ujjd	basic,observe	ἵνα τὴν παράδοσιν ὑμῶν τηρήσητε	1	Pourquoi les pharisiens ont-ils rejeté le commandement de Dieu ?	
7:10	sqr5	basic,observe	τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου; καί, ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω	1	Quel était le commandement spécifique de Dieu énoncé par l'intermédiaire de **Moïse** que les pharisiens ont rejeté ?	
7:11-12	j0sg	basic,observe	ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί, κορβᾶν, (ὅ ἐστιν δῶρον), ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς & οὐκέτι ἀφίετε αὐτὸν οὐδὲν ποιῆσαι τῷ πατρὶ ἢ τῇ μητρί	1	Quel enseignement des Pharisiens contredisait le commandement de Dieu transmis par Moïse ?	
7:11	e67d	basic,observe	κορβᾶν, (ὅ ἐστιν δῶρον), ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς	1	Que permettaient les Pharisiens à un homme de faire au lieu de subvenir aux besoins de ses parents ?	
7:13	vds1	basic,interpret	ἀκυροῦντες τὸν λόγον τοῦ Θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε	1	En quoi l'enseignement des pharisiens annulait **la parole de Dieu** ?	
7:13	quph	basic,observe	παρόμοια τοιαῦτα πολλὰ ποιεῖτε	1	Est-ce le seul enseignement par lequel les pharisiens ont annulé la parole de Dieu ?	
7:14	bc96	basic,observe	προσκαλεσάμενος πάλιν τὸν ὄχλον, ἔλεγεν αὐτοῖς	1	Jésus s'est adressé aux pharisiens. À qui commence-t-il à parler désormais ?	
7:14	rrgr	basic,observe	ἀκούσατέ μου πάντες καὶ σύνετε	1	Que commande-t-il à la foule ?	
