JUD	front	intro	xh5n	JUD_front_intro_xh5n		# Introduction à Jude<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Jude<br><br>1. Introduction (1:1-2)<br>2. Mise en garde contre les faux enseignants (1:3-4)<br>3. Comparaison des faux enseignants aux exemples de l’Ancien Testament (1:5-16)<br>4. Exhortation à mener une vie pieuse en réponse (1:17-23)<br>5. Louanges à Dieu (1:24-25)<br><br>### Qui a écrit le livre de Jude?<br><br>L’auteur s’est identifié comme étant Jude, le frère de Jacques. Jude et Jacques étaient tous deux des demi-frères de Jésus. On ignore si cette lettre était destinée à une église spécifique.<br><br>### De quoi parle le livre de Jude?<br><br>Jude a écrit cette lettre pour mettre en garde les croyants contre les faux enseignants. Jude fait souvent référence à l’Ancien Testament. Cela peut suggérer que Jude écrivait à un public chrétien juif. Cette lettre et 2 Pierre ont un contenu similaire. Elles parlent toutes deux des anges, de Sodome et Gomorrhe, et des faux enseignants.<br><br>### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, “Jude”. Ou ils peuvent choisir un titre plus clair, tel que “La lettre de Jude” ou “La lettre que Jude a écrite.” (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Qui étaient les personnes contre lesquelles Jude s’est exprimé ?<br><br>Il est possible que les personnes contre lesquelles Jude s’est exprimé étaient celles qui seraient plus tard connues sous le nom de gnostiques. Ces enseignants déformaient les enseignements de l’Écriture pour leur propre profit. Ils vivaient de façon immorale et enseignaient aux autres à faire de même.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel “vous”<br><br>Dans ce livre, le mot “je” fait référence à Jude. De même, le mot “vous” est toujours au pluriel et fait référence à l’auditoire de Jude. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] et [[rc://fr/ta/man/translate/figs-you]])<br><br>###Quels sont les problèmes majeurs du texte du livre de 2 Pierre ?<br><br>Pour le verset suivant, il existe des différences entre certains manuscrits anciens. Le texte ULT suit la lecture que la plupart des érudits considèrent comme originale et met l’autre lecture dans une note de bas de page. Si une traduction de la Bible existe dans la langue de communication la plus répandue dans la région, les traducteurs peuvent envisager d’utiliser la lecture trouvée dans cette version. Sinon, il est conseillé aux traducteurs de suivre la lecture de l’ULT.<br>* “que Jésus, ayant sauvé un peuple du pays d’Égypte” [(v. 5)](../01/05.md). Certains manuscrits anciens ont : “que le Seigneur, ayant sauvé un peuple du pays d’Égypte” <br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).
JUD	1	10	h6sq	JUD_1_10_h6sq	οὗτοι	Ici, **ces derniers** fait référence aux faux enseignants introduits au verset [4](../01/04.md). Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “ces faux enseignants” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	10	fjm5	JUD_1_10_fjm5	ὅσα…οὐκ οἴδασιν	Ce mot **> ce que <** pourrait faire référence à : (1) le monde spirituel dont il est question dans le verset précédent. Traduction alternative : “le monde spirituel, qu’ils ne comprennent pas” (2) les glorieux mentionnés au verset [8](../01/08.md). Autre traduction : “les glorieux, qu’ils ne comprennent pas”.
JUD	1	10	q640	JUD_1_10_q640	ὅσα…φυσικῶς ὡς τὰ ἄλογα ζῷα ἐπίστανται	Cette clause fait référence à l’immoralité sexuelle des faux enseignants, qui vivent inconsidérément selon leurs désirs sexuels naturels, comme le font les animaux. Au cas où vos lecteurs comprendraient mal cette simile, vous pourriez la traduire de manière non figurative. Traduction alternative : “ce qu’ils comprennent naturellement, des désirs sexuels effrénés” (Voir : [[rc://fr/ta/man/translate/figs-simile]])
JUD	1	10	x35l	JUD_1_10_x35l	ἐν τούτοις	Ici, **ces {choses}** renvoie à “ce qu’ils comprennent par instinct”, c’est-à-dire des actes sexuellement immoraux. Si vos lecteurs comprenaient mal cela, vous pourriez l’exprimer explicitement. Traduction alternative : “par ces actes sexuellement immoraux” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	10	z0n7	JUD_1_10_z0n7	ἐν τούτοις φθείρονται	Si votre langue n’utilise pas la forme passive **are being destroyed**, vous pouvez l’exprimer avec une forme active. Traduction alternative : “ces choses les détruisent” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	11	b33e	JUD_1_11_b33e	οὐαὶ αὐτοῖς	L’expression **Malheur à eux** est l’opposé de “vous êtes bénis”. Elle indique que de mauvaises choses vont arriver aux personnes auxquelles on s’adresse, parce qu’elles ont déplu à Dieu. Traduction alternative : “ Que c’est terrible pour eux “ ou “ Des ennuis leur arriveront “ (Voir : [[rc://fr/ta/man/translate/figs-idiom]]).
JUD	1	11	j3g9	JUD_1_11_j3g9	τῇ ὁδῷ τοῦ Κάϊν ἐπορεύθησαν	Ici, **être allé dans le sens** est une métaphore de “avoir vécu de la même manière que”. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative. Traduction alternative : “ils ont vécu de la même manière que Caïn” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	11	yg9b	JUD_1_11_yg9b	τοῦ Κάϊν	Ici, Jude compare les faux enseignants à **Caïn**. Jude suppose que ses lecteurs sauront qu’il fait référence à une histoire relatée dans le livre de la Genèse de l’Ancien Testament. Dans cette histoire, Caïn a fait une offrande inacceptable à Dieu, et Dieu a rejeté son offrande. En conséquence, il s’est mis en colère et a été jaloux de son frère Abel, car Dieu avait accepté l’offrande d’Abel. La colère et la jalousie de Caïn l’ont conduit à tuer son frère. Dieu a puni Caïn en le bannissant de la culture de la terre. De plus, à l’époque où Jude a écrit cette lettre, les Juifs considéraient Caïn comme un exemple de personne qui enseignait aux autres comment pécher, ce que faisaient ces faux enseignants. Vous pouvez indiquer certains de ces éléments de manière explicite si cela peut être utile à vos lecteurs, en particulier s’ils ne connaissent pas l’histoire. Autre traduction, sous forme de déclaration : “de Caïn, qui assassina son frère” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	11	zsdw	JUD_1_11_zsdw	ἐξεχύθησαν	Traduction alternative : “ils se sont pleinement engagés”
JUD	1	11	tmf2	JUD_1_11_tmf2	τοῦ Βαλαὰμ μισθοῦ	Ici, Jude compare les faux enseignants à **Balaam**. Jude suppose que ses lecteurs sauront qu’il fait référence à une histoire relatée dans le livre des Nombres de l’Ancien Testament. Dans cette histoire, Balaam a été engagé par des rois méchants pour maudire les Israélites. Lorsque Dieu ne lui a pas permis de le faire, Balaam a utilisé des femmes méchantes pour séduire les Israélites et les inciter à l’immoralité sexuelle et à l’adoration des idoles afin que Dieu les punisse pour leur désobéissance. Balaam a fait ces choses méchantes parce qu’il voulait être payé par les rois méchants, mais il a finalement été tué par les Israélites lorsqu’ils ont conquis le pays de Canaan. Vous pouvez l’indiquer explicitement si cela peut être utile à vos lecteurs, surtout s’ils ne connaissent pas l’histoire. Autre traduction, sous forme de déclaration : “de Balaam, qui entraîna les Israélites dans l’immoralité pour de l’argent” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	11	qlof	JUD_1_11_qlof	τοῦ Κόρε	Ici, Jude compare les faux enseignants à **Koré**. Jude suppose que ses lecteurs sauront qu’il fait référence à une histoire relatée dans le livre des Nombres de l’Ancien Testament. Dans cette histoire, Koré était un homme d’Israël qui a mené une rébellion contre le leadership de Moïse et Aaron, que Dieu avait désigné. Dieu a tué Koré et tous ceux qui se sont rebellés avec lui en brûlant certains d’entre eux et en ouvrant la terre pour engloutir les autres. Vous pouvez indiquer certains de ces éléments de manière explicite si cela peut être utile à vos lecteurs, en particulier s’ils ne connaissent pas l’histoire. Autre traduction, sous forme de déclaration : “de Koré, qui se rebella contre les chefs désignés par Dieu” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	11	tspu	JUD_1_11_tspu	ἀπώλοντο	Jude utilise le passé au sens figuré pour faire référence à quelque chose qui se produira dans le futur. Il le fait pour montrer que l’événement se produira certainement. Si cela n’est pas clair dans votre langue, vous pouvez utiliser le futur. Autre traduction : “ils périront certainement” (Voir : [[rc://fr/ta/man/translate/figs-pastforfuture]])
JUD	1	12	r875	JUD_1_12_r875	οὗτοί	Ici, **Ceux-là** fait référence aux faux enseignants introduits au verset [4](../01/04.md). Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “Ces faux enseignants” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	12	e25d	JUD_1_12_e25d	σπιλάδες	Ici, **les récifs** sont de gros rochers qui sont très proches de la surface de l’eau dans la mer. Comme les marins ne peuvent pas les voir, ils sont très dangereux. Les navires peuvent facilement être détruits s’ils heurtent ces rochers. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer par une simile ou de manière non figurative. Traduction alternative : “ils sont comme des récifs cachés” ou “bien qu’ils passent inaperçus, ces gens sont extrêmement dangereux” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	12	aq79	JUD_1_12_aq79	ταῖς ἀγάπαις	Ici, **les fêtes d’amour** font référence aux rassemblements de chrétiens où ils prenaient un repas ensemble. Ces **fêtes** avaient lieu dans l’église primitive et incluaient très probablement le partage du pain et du vin pour se souvenir de la mort de Jésus, ce que Paul appelle “la Cène” dans 1 Corinthiens 11:20. Si vos lecteurs risquent de mal comprendre, vous pourriez exprimer certaines de ces informations de manière explicite. Traduction alternative : “repas en commun avec d’autres croyants” (Voir : [[rc://fr/ta/man/translate/translate-unknown]])
JUD	1	12	emua	JUD_1_12_emua	ἑαυτοὺς ποιμαίνοντες	Ici, Jude parle au sens figuré des faux enseignants qui s’occupent égoïstement de leurs propres besoins, comme s’ils étaient des bergers qui se nourrissent et prennent soin d’eux-mêmes au lieu de leurs troupeaux. Si vos lecteurs comprennent mal cette métaphore, vous pouvez l’exprimer par une simile ou de manière non figurative. Traduction alternative : “comme des bergers qui se nourrissent eux-mêmes au lieu de leurs troupeaux” ou “qui ne s’occupent que d’eux-mêmes” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	12	s2st	JUD_1_12_s2st	νεφέλαι ἄνυδροι ὑπὸ ἀνέμων παραφερόμεναι	Jude parle au sens figuré des faux enseignants pour décrire leur inutilité. Les gens s’attendent à ce que les nuages fournissent de l’eau pour faire pousser les cultures, mais **les nuages sans eau** déçoivent les agriculteurs en étant emportés par le vent sans donner de pluie. De la même manière, les faux enseignants, bien qu’ils promettent beaucoup de choses, sont incapables de faire ce qu’ils promettent. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez la traduire de manière non figurative ou la transformer en simile. Traduction alternative : “Ces faux enseignants ne donnent jamais ce qu’ils promettent” ou “Ces faux enseignants déçoivent comme des nuages sans eau” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	12	diqd	JUD_1_12_diqd	ὑπὸ ἀνέμων παραφερόμεναι	Si votre langue n’utilise pas la forme passive **carried along**, vous pouvez l’exprimer avec une forme active. Traduction alternative : “que le vent emporte” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	12	gs99	JUD_1_12_gs99	δένδρα φθινοπωρινὰ ἄκαρπα	Ici, Jude parle à nouveau au sens figuré des faux enseignants pour décrire leur inutilité. Les gens s’attendent à ce que les arbres en automne donnent des fruits, mais **les arbres d’automne sans fruits** les déçoivent. De la même manière, les faux enseignants, bien qu’ils promettent beaucoup de choses, sont incapables de faire ce qu’ils promettent. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez la traduire de manière non figurative ou la transformer en simile. Autre traduction possible : “ne donnant jamais ce qu’ils promettent” ou “comme des arbres fruitiers stériles” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	12	doxh	JUD_1_12_doxh	δὶς ἀποθανόντα ἐκριζωθέντα	Jude utilise ici le passé au sens figuré pour faire référence à quelque chose qui se produira dans le futur. Il le fait pour montrer que l’événement se produira certainement. Si cela n’est pas clair dans votre langue, vous pouvez utiliser le futur. Traduction alternative : “ils mourront certainement deux fois, ils seront certainement déracinés” (Voir : [[rc://fr/ta/man/translate/figs-pastforfuture]])
JUD	1	12	zk57	JUD_1_12_zk57	δὶς ἀποθανόντα ἐκριζωθέντα	Ici, **> être mort deux fois <** pourrait signifier : (1) les arbres sont considérés comme morts d’abord parce qu’ils ne produisent pas de fruits, mais doublement morts parce qu’ils sont déracinés en réponse à leur manque de fruits. Traduction alternative : “étant morts deux fois en étant sans fruit et déracinés” (2) les arbres, qui représentent les faux enseignants, sont spirituellement morts mais seront aussi physiquement morts lorsque Dieu les tuera. “étant spirituellement morts et ensuite physiquement morts quand ils ont été déracinés”.
JUD	1	12	t28p	JUD_1_12_t28p	ἐκριζωθέντα	Jude décrit le jugement de Dieu sur ces faux enseignants de manière figurative, comme des arbres qui ont été complètement arrachés du sol par leurs racines. Si vos lecteurs comprennent mal cette métaphore, vous pouvez l’exprimer de manière non figurative. Traduction alternative : “ayant été détruits” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	12	g76g	JUD_1_12_g76g	ἐκριζωθέντα	Si votre langue n’utilise pas cette forme passive, vous pouvez la remplacer par une forme active et dire qui a fait l’action. Traduction alternative : “Dieu les a déracinés” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	13	e4rm	JUD_1_13_e4rm	κύματα ἄγρια θαλάσσης	Ici, Jude parle au sens figuré des faux enseignants pour décrire leur comportement incontrôlé et indomptable. Il les décrit comme **des vagues sauvages** qui s’agitent de manière incontrôlable. Si vos lecteurs comprennent mal cette métaphore, vous pouvez traduire de manière non figurative ou transformer la métaphore en simile. Traduction alternative : “ils agissent de manière incontrôlée” ou “ils sont déchaînés comme des vagues sauvages” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	13	fgr9	JUD_1_13_fgr9	ἐπαφρίζοντα τὰς ἑαυτῶν αἰσχύνας	Ici, Jude élargit la métaphore des vagues de la phrase précédente, en parlant au sens figuré des **actes honteux** des faux enseignants. Comme les vagues laissent de l’écume sale sur le rivage que tout le monde peut voir, ainsi les faux enseignants continuent à agir honteusement à la vue des autres. Si vos lecteurs comprennent mal cette métaphore, vous pouvez traduire de manière non figurative ou transformer la métaphore en simile. Traduction alternative : “ils rendent leurs actes honteux visibles à tous” ou “ils montrent leurs actes honteux comme des vagues laissent de l’écume” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	13	r6rj	JUD_1_13_r6rj	ἀστέρες πλανῆται	Ici, l’expression **étoiles errantes** décrit des **étoiles** qui se sont éloignées de leur trajectoire normale de mouvement. Jude utilise cette expression au sens figuré pour décrire les faux enseignants comme des personnes qui ont cessé de faire ce qui plaît au Seigneur. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative ou avec une simile. Autre traduction possible : “ne vivant plus dans la justice” ou “comme des étoiles qui s’éloignent de leur chemin” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	13	djm4	JUD_1_13_djm4	οἷς ὁ ζόφος τοῦ σκότους εἰς αἰῶνα τετήρηται	Si votre langue n’utilise pas la forme passive **a été gardé**, vous pouvez l’exprimer avec une forme active, et vous pouvez indiquer qui a fait l’action. Traduction alternative : “pour qui Dieu a gardé les ténèbres et l’obscurité pour l’éternité” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	13	n4oc	JUD_1_13_n4oc	οἷς	Ici, **qui** fait référence aux faux enseignants que Jude a appelés “étoiles errantes” dans la phrase précédente. Si cela peut être utile à vos lecteurs, vous pourriez indiquer explicitement que cela fait référence aux faux enseignants. Traduction alternative : “faux enseignants pour lesquels” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	13	iast	JUD_1_13_iast	ὁ ζόφος τοῦ σκότους	Ici, **> gloom of darkness <** pourrait signifier : (1) le gloom est caractérisé par l’obscurité. Traduction alternative : “the dark gloom” (2) la morosité est identique à l’obscurité. Traduction alternative : “the gloom, which is darkness”.
JUD	1	13	oey6	JUD_1_13_oey6	ὁ ζόφος τοῦ σκότους	Ici, Jude utilise **ténèbres** et **obscurité** au sens figuré pour désigner l’enfer. Si vos lecteurs comprennent mal cette métaphore, vous pouvez l’exprimer directement. Traduction alternative : “ à qui Dieu a réservé les ténèbres de l’enfer “ (voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	14	crwg	JUD_1_14_crwg	Ἑνὼχ	**Enoch** est le nom d’un homme. (Voir : [[rc://fr/ta/man/translate/translate-names]])
JUD	1	14	e5wv	JUD_1_14_e5wv	ἕβδομος ἀπὸ Ἀδὰμ	Puisque **> Adam <** est considéré comme la première génération de l’humanité, Hénoch est la septième génération.
JUD	1	14	br8e	JUD_1_14_br8e	Ἀδὰμ	**Adam** est le nom d’un homme. (Voir : [[rc://fr/ta/man/translate/translate-names]])
JUD	1	14	marg	JUD_1_14_marg	τούτοις	Ici, **ces derniers** se réfère aux faux enseignants. Si cela pouvait être utile à vos lecteurs, vous pourriez l’exprimer explicitement. Traduction alternative : “sur ces faux enseignants” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	14	yenq	JUD_1_14_yenq	λέγων	Réfléchissez aux moyens naturels d’introduire les citations directes dans votre langue. Traduction alternative : “et il dit” (Voir : [[rc://fr/ta/man/translate/writing-quotations]])
JUD	1	14	lu2y	JUD_1_14_lu2y	ἰδοὺ	Le terme **Behold** concentre l’attention d’un auditeur ou d’un lecteur sur ce qu’un orateur ou un écrivain est sur le point de dire. Bien qu’il signifie littéralement “regarder” ou “voir”, le terme peut être utilisé au sens figuré pour signifier le fait de prêter attention, et c’est ainsi que Jacques l’utilise ici. Traduction alternative : “Prêtez attention à ce que j’ai à dire !” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	14	acin	JUD_1_14_acin	ἦλθεν Κύριος	Jude utilise ici le passé au sens figuré pour faire référence à quelque chose qui se produira dans le futur. Il le fait pour montrer que l’événement se produira certainement. Si cela n’est pas clair dans votre langue, vous pouvez utiliser le futur. Autre traduction : “Le Seigneur viendra certainement” (Voir : [[rc://fr/ta/man/translate/figs-pastforfuture]])
JUD	1	14	pylm	JUD_1_14_pylm	Κύριος	Ici, **> Seigneur <** pourrait se référer à : (1) Jésus. Traduction alternative, comme dans l’UST : “Le Seigneur Jésus” (2) Dieu. Traduction alternative : “Le Seigneur Dieu”
JUD	1	14	tyf8	JUD_1_14_tyf8	μυριάσιν	Le mot **myriades** est le pluriel du mot grec “myriade”, qui signifie dix mille (10 000) mais est souvent utilisé pour désigner un grand nombre. Vous pouvez exprimer ce nombre de la manière qui serait la plus naturelle dans votre langue. Autre traduction : “dizaines de milliers” (Voir : [[rc://fr/ta/man/translate/translate-unknown]])
JUD	1	14	ljm1	JUD_1_14_ljm1	ἁγίαις	Ici, **> les saints <** pourraient se référer à : (1) les anges, comme le suggère la présence d’anges dans des déclarations similaires sur le jugement en Matthieu 24:31, 25:31, Marc 89:38, et 2 Thessaloniciens 1:7. Autre traduction, comme dans l’UST : “ses saints anges” (2) les croyants. Autre traduction : “ses saints croyants” ou “ses saints”.
JUD	1	15	moys	JUD_1_15_moys	ποιῆσαι κρίσιν…καὶ ἐλέγξαι	Ici, les deux occurrences du mot **à** indiquent le but pour lequel le Seigneur vient avec ses saints. Autre traduction : “dans le but de juger... et de réprimander” (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-goal]])
JUD	1	15	bl4q	JUD_1_15_bl4q	ποιῆσαι κρίσιν κατὰ	Si vos lecteurs comprennent mal le nom abstrait **jugement**, vous pouvez exprimer l’idée qui le sous-tend par une phrase verbale. Traduction alternative : “juger” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	15	qeei	JUD_1_15_qeei	πᾶσαν ψυχὴν	Ici, **âme** fait référence à une personne. Traduction alternative : “chaque personne” (Voir : [[rc://fr/ta/man/translate/figs-synecdoche]])
JUD	1	15	twxy	JUD_1_15_twxy	τῶν ἔργων ἀσεβείας αὐτῶν	Ici, Jude utilise la forme possessive pour décrire les **œuvres** qui sont caractérisées par **l’impiété**. Si cela n’est pas clair dans votre langue, vous pourriez utiliser une phrase pour l’expliquer. Traduction alternative : “œuvres impies” (Voir : [[rc://fr/ta/man/translate/figs-possession]])
JUD	1	15	y4y5	JUD_1_15_y4y5	τῶν σκληρῶν	Ici, **> dureté des {choses} <** se réfère aux déclarations dures que les pécheurs prononcent de manière calomnieuse contre le Seigneur. Traduction alternative : “les mots durs” ou “les déclarations offensantes”.
JUD	1	15	d6hy	JUD_1_15_d6hy	αὐτοῦ	Ici le pronom **lui** pourrait se référer à : (1) Jésus. Autre traduction, comme dans l’UST : “Jésus” (2) Dieu. Autre traduction : “Dieu” L’option que vous choisissez doit être en accord avec votre choix pour la signification de “Seigneur” dans le verset précédent. (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	16	a4le	JUD_1_16_a4le	οὗτοί	Ici, **Ces derniers** font référence aux faux enseignants que Jude a présentés pour la première fois au verset [4](../01/04.md) et dont il a parlé tout au long de la lettre. Puisque Jude est passé, dans le verset précédent, à la description du jugement de tous ceux qui commettent des actes méchants, il peut être utile pour vous d’informer vos lecteurs que ce verset revient à se concentrer spécifiquement sur les faux enseignants. Traduction alternative : “Ces faux enseignants” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	16	zs28	JUD_1_16_zs28	εἰσιν γογγυσταί μεμψίμοιροι	Ici, les termes **> murmureurs <** et **> râleurs <** font référence à deux manières différentes d’exprimer le mécontentement ou le malheur. Alors que les **> murmures <** sont des personnes qui expriment leurs plaintes à voix basse, les **> plaignants <** les expriment ouvertement. Lorsque les Israélites voyageaient dans le désert après avoir quitté l’Égypte, ils étaient souvent punis par Dieu pour avoir grommelé et s’être plaints contre lui et leurs dirigeants, ce qui est évidemment ce que ces faux enseignants faisaient à l’époque de Jude. Traduction alternative : “ronchonner tranquillement pour eux-mêmes et se plaindre bruyamment”.
JUD	1	16	z5bn	JUD_1_16_z5bn	πορευόμενοι	Ici, Jude utilise **aller** au sens figuré pour faire référence à l’habitude de faire quelque chose. Si vos lecteurs comprendraient mal cette métaphore, vous pouvez l’exprimer au sens propre. Traduction alternative : “ceux qui vivent habituellement” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	16	jhrq	JUD_1_16_jhrq	τὰς ἐπιθυμίας αὐτῶν	Ici, **> convoitises <** fait référence aux désirs pécheurs qui s’opposent à la volonté de Dieu. Traduction alternative : “leurs désirs pécheurs”
JUD	1	16	xum2	JUD_1_16_xum2	τὸ στόμα αὐτῶν λαλεῖ	Ici, Jude utilise le singulier **> bouche <** de manière distributive. Si cela devait prêter à confusion pour vos lecteurs, vous pourriez l’exprimer explicitement ou utiliser un nom et un verbe au pluriel. Traduction alternative : “la bouche de chacun d’eux parle” ou “leurs bouches parlent”.
JUD	1	16	xuf0	JUD_1_16_xuf0	τὸ στόμα αὐτῶν λαλεῖ	Ici, la bouche **>** représente la personne qui parle. Traduction alternative : “ils parlent” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
JUD	1	16	eaf2	JUD_1_16_eaf2	λαλεῖ ὑπέρογκα	Ici, **> choses vantardes <** fait référence aux déclarations arrogantes sur eux-mêmes que ces faux enseignants faisaient. Traduction alternative : “se vantent d’eux-mêmes” ou “tiennent des propos vantards”.
JUD	1	16	w3ma	JUD_1_16_w3ma	θαυμάζοντες πρόσωπα	Il s’agit d’une expression idiomatique qui signifie faire preuve de favoritisme envers quelqu’un ou flatter quelqu’un. Si vos lecteurs comprennent mal cette expression, vous pouvez utiliser une expression équivalente ou utiliser un langage simple. Traduction alternative : “favoriser les gens” ou “flatter les gens” (Voir : [[rc://fr/ta/man/translate/figs-idiom]])
JUD	1	16	j8rh	JUD_1_16_j8rh	θαυμάζοντες πρόσωπα	Ici, les visages **>** font référence aux personnes qu’ils flattent. Traduction alternative : “personnes admiratives” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
JUD	1	17	vpgz	JUD_1_17_vpgz	ἀγαπητοί	Ici, **les bien-aimés** désigne ceux à qui Jude écrit, ce qui peut être étendu à tous les croyants. Si vos lecteurs comprenaient mal ce terme, vous pourriez l’exprimer explicitement. Voyez comment vous avez traduit cela au verset [3](../01/03.md). Traduction alternative : “bien-aimés coreligionnaires” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	17	eqko	JUD_1_17_eqko	τῶν ῥημάτων	Ici, Jude utilise **mots** pour décrire les enseignements des apôtres qui ont été transmis en utilisant des mots. Les enseignements spécifiques auxquels Jude fait référence ici sont décrits dans le verset suivant. Traduction alternative : “les enseignements” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
JUD	1	17	nyja	JUD_1_17_nyja	τοῦ Κυρίου ἡμῶν	Ici, **notre Seigneur** signifie “la personne qui est seigneur sur nous” ou “la personne qui règne sur nous”. Traduction alternative : “de la personne qui nous gouverne” (Voir : [[rc://fr/ta/man/translate/figs-possession]])
JUD	1	17	qjsf	JUD_1_17_qjsf	ἡμῶν	Ici, **notre** se réfère à tous les croyants. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
JUD	1	18	toms	JUD_1_18_toms	ὅτι ἔλεγον ὑμῖν	Cette phrase indique que ce verset contient le contenu des “paroles” prononcées par les apôtres, auxquelles Jude fait référence dans le verset précédent.
JUD	1	18	nlh9	JUD_1_18_nlh9	ἐσχάτου χρόνου	Ici, **la dernière fois** est un idiome qui fait référence au temps avant le retour de Jésus. Traduction alternative : “le temps juste avant le retour de Jésus” (Voir : [[rc://fr/ta/man/translate/figs-idiom]])
JUD	1	18	w1mx	JUD_1_18_w1mx	πορευόμενοι	Ici, Jude utilise le mot **aller** au sens figuré pour faire référence à l’habitude de faire quelque chose. Si vos lecteurs comprendraient mal cette métaphore, vous pouvez l’exprimer au sens propre. Traduction alternative : “ ceux qui vivent habituellement “ (voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	18	j5m4	JUD_1_18_j5m4	κατὰ τὰς ἑαυτῶν ἐπιθυμίας…τῶν ἀσεβειῶν	Ici, **> les convoitises de l’impiété <** se réfèrent aux désirs pécheurs qui sont opposés à la volonté de Dieu. Traduction alternative : “selon leurs propres désirs pécheurs et impies”.
JUD	1	19	r28j	JUD_1_19_r28j	οὗτοί	Ici, **Ces** font référence aux moqueurs dont Jude a parlé dans le verset précédent. Si cela peut être utile pour vos lecteurs, vous pourriez l’exprimer explicitement. Autre traduction, comme dans l’UST : “Ces moqueurs” (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
JUD	1	19	l568	JUD_1_19_l568	οἱ ἀποδιορίζοντες	Si vos lecteurs comprennent mal le nom abstrait **divisions**, vous pouvez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “ ceux qui divisent les autres les uns contre les autres “ (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]]).
JUD	1	19	jwyt	JUD_1_19_jwyt	Πνεῦμα	Ici, **Esprit** fait référence au Saint-Esprit. Il ne fait pas référence à l’esprit d’un humain ou à un mauvais esprit. Si vos lecteurs comprenaient mal cela, vous pourriez l’exprimer explicitement. Traduction alternative, comme dans l’UST : “le Saint-Esprit” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
