TIT	front	intro	m2jl	TIT_front_intro_m2jl		# Introduction à Tite<br><br>## 1e partie : Introduction générale<br><br>### Aperçu du livre de Tite<br><br>1. Paul ordonne à Tite de nommer des chefs pieux. (phrases 1 à 9/30)<br>2. Paul ordonne à Tite de former les gens à vivre une vie pieuse. (phrases 10 à 24/30)<br>3. Paul termine en partageant certains de ses plans et en envoyant des salutations à divers croyants. (phrases 25 à 30/30)<br><br>### Qui a écrit le livre de Tite ?<br><br>Paul a écrit le livre de Tite. Paul était de la ville de Tarse. Il avait été connu sous le nom de Saul au début de sa vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois à travers l’Empire Romain pour parler de Jésus aux gens.<br><br>### De quoi parle le livre de Tite ?<br><br>Paul a écrit cette lettre à Tite, son compagnon de travail, qui dirigeait les églises de l’île de Crète. Paul l’a instruit sur la sélection des dirigeants de l’église. Paul a également décrit comment les croyants devraient se comporter les uns envers les autres. Il les a tous encouragés à vivre d’une manière qui plaît à Dieu.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, « Tite ». Ou bien, ils peuvent choisir un titre plus clair, comme « Lettre de Paul à Tite » ou « Une lettre à Tite ». (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## 2e partie : Concepts religieux et culturels importants<br><br>### Dans quels rôles les gens peuvent-ils servir au sein de l’Église ?<br><br>Il y a quelques enseignements dans le livre de Tite sur la question de savoir si une femme ou un homme divorcé peut occuper des postes de direction au sein de l’église. Les érudits sont en désaccord sur le sens de ces enseignements. Une étude plus approfondie de ces questions pourrait être nécessaire avant de traduire ce livre.<br><br>## 3e partie : Problèmes importants de traduction<br><br>### Le singulier et le pluriel du pronom personnel de la deuxième personne<br><br>Dans ce livre, le mot *Je* fait référence à Paul. Mais le mot *tu* est presque toujours au singulier et fait référence à Tite. Il y a une exception dans la dernière phrase (30/30), où Paul s’adresse à tous les Chrétiens de l’île de Crète qui sont avec Tite. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] and [[rc://fr/ta/man/translate/figs-you]])<br><br>### Que signifie **Dieu notre Sauveur** ?<br><br>C’est une expression courante dans cette lettre. Paul voulait faire réfléchir les lecteurs sur la façon dont Dieu leur a pardonné en Christ d’avoir péché contre lui, et en leur pardonnant, il les a sauvés de la punition qui viendra lorsqu’il jugera tout le monde. Une expression semblable dans cette lettre est *notre grand Dieu et Sauveur Jésus-Christ*.
TIT	2	3	xyz4	TIT_2_3_xyz4	οἴνῳ πολλῷ δεδουλωμένας	Vous pouvez utiliser ici la voix active. Traduction alternative : « buvant trop de vin » ou « accros au vin ». (Voir : [rc://fr/ta/man/translate/figs-activepassive])
TIT	2	3	abc4	TIT_2_3_abc4	καλοδιδασκάλους	Le mot grec utilisé ici signifie “un maître de ce qui est bon”. Le groupe de mots “mais doivent être” est implicite dans l’expression **mais enseignantes de ce qui est bon** qui contraste cette bonne qualité avec les deux mauvaises qualités précédentes. Considérez l’utilisation d’une expression de contraste comme “mais elles doivent être” ou “au lieu de cela, elles doivent être” pour faire un contraste entre les bonnes et les mauvaises qualités dans votre langue.
TIT	2	4	abc5	TIT_2_4_abc5	φιλάνδρους	Paul dit à Tite qu’il veut que, par leur comportement, les femmes plus âgées apprennent aux jeunes femmes à « être les amantes de leurs propres maris ».
TIT	2	4	abca	TIT_2_4_abca	φιλοτέκνους	Paul dit à Tite qu’il veut aussi que, par leur comportement, les femmes plus âgées apprennent aux jeunes femmes à aimer leurs propres enfants.
TIT	2	5	abcb	TIT_2_5_abcb	ὑποτασσομένας τοῖς ἰδίοις ἀνδράσιν	Le terme *[être] soumises* signifie « obéir de bon gré, volontairement ». Traduction alternative : « à obéir de bon gré à leurs maris ».
TIT	2	5	t5v6	TIT_2_5_t5v6	ἵνα μὴ ὁ λόγος τοῦ Θεοῦ βλασφημῆται	Ici, *la parole* est une métonymie pour « le message », qui désigne Dieu lui-même. (Voir : [rc://fr/ta/man/translate/figs-metonymy])
TIT	2	5	abcq	TIT_2_5_abcq	ἵνα μὴ ὁ λόγος τοῦ Θεοῦ βλασφημῆται	C’est-à-dire, « pour que personne n’insulte la Parole de Dieu » ou « pour que personne n’insulte Dieu en disant du mal de son message ». (Voir : \[rc://fr/ta/man/translate/figs-activepassive\])
TIT	2	6	i3hv	TIT_2_6_i3hv	ὡσαύτως	Tite devait former les jeunes hommes tout comme il devait former les personnes âgées. Traduction alternative : “De la même manière”
TIT	2	7	x73u	TIT_2_7_x73u	σεαυτὸν παρεχόμενος	Si c’est plus clair dans votre langue, utilisez la traduction alternative : “montre-toi” ou “tu dois être”.
TIT	2	7	ym6x	TIT_2_7_ym6x	τύπον καλῶν ἔργων	Traduction alternative : “comme un exemple de quelqu’un qui fait des actions bonnes”
TIT	2	8	xy14	TIT_2_8_xy14	ὑγιῆ	Ce mot **solide** a la même signification de base que “pas corrompu” dans 2:7. Là, Paul donne la signification négativement : “pas corrompu”, signifiant “sans erreur”, mais dans 2:8, il donne le sens positivement : **solide**, signifiant “correct”. Les deux termes se réfèrent à l’enseignement de Tite. Utilisez des termes positifs ou négatifs dans la langue cible. S’il est difficile d’utiliser deux termes, utilisez un seul terme ayant le même sens dans les deux versets.
TIT	2	8	xt6v	TIT_2_8_xt6v	ἵνα ὁ ἐξ ἐναντίας ἐντραπῇ	Paul imagine une situation hypothétique où quelqu’un s’opposerait à Tite et deviendrait ensuite honteux de l’avoir fait. Traduction alternative : « afin que, si quelqu’un s’oppose à vous, il en ait honte » ou « afin que lorsque les gens s’opposent à vous, ils aient honte » (Voir : [[rc://fr/ta/man/translate/figs- hypo]])
TIT	2	8	xy15	TIT_2_8_xy15	ἡμῶν	Le pronom complément d’object indirect “nous” parle de Paul, de Tite, et de tous les Chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	2	9	xyz5	TIT_2_9_xyz5	δούλους ἰδίοις δεσπόταις ὑποτάσσεσθαι	Le Grec n’a pas le terme **doivent être**, mais seulement “des esclaves à soumettre à leurs maîtres”. Nous devons appliquer l’idée verbale du verset 6 à ce passage, c’est-à-dire “recommander” ou “exhorter”. Traduction alternative : “Recommande aux esclaves de se soumettrent à leurs maîtres” (Voir : \[rc://fr/ta/man/translate/figs-ellipsis\])
TIT	2	9	abcc	TIT_2_9_abcc	ὑποτάσσεσθαι	Le grec s’exprime ici avec le verbe *être* seulement, mais en français il faut ajouter un verbe introducteur. N’hésitez donc pas à le faire dans votre langue si nécessaire. 
TIT	2	9	if6v	TIT_2_9_if6v	ἐν πᾶσιν	Peut-être qu’ **en toute chose** n’est pas clair dans votre langue, essayez une des Traduction alternative : “dans chaque situation” ou “toujours”
TIT	2	9	id15	TIT_2_9_id15	εὐαρέστους εἶναι	On peut réécrire le verset 2:9 comme suit pour éviter la voix passive. Les esclaves doivent obéir à leurs propres maîtres en toute chose. Traduction alternative : “faire plaisir à leurs maîtres”.
TIT	2	10	abc6	TIT_2_10_abc6	μὴ νοσφιζομένους	Traduction alternative : “ne rien voler de leurs maîtres”
TIT	2	10	t87j	TIT_2_10_t87j	πᾶσαν πίστιν ἐνδεικνυμένους ἀγαθήν	Paul dit à Tite d’enseigner aux esclaves de montrer qu’ils doivent “être dignes de la confiance de leurs maîtres”.
TIT	2	10	h2n6	TIT_2_10_h2n6	ἐν πᾶσιν	**En toute choses** est un synonyme de “dans toutes les choses” qui signifie “dans tout ce qu’ils vont faire” dans le contexte de ce verset. Traduction alternative : “dans tout ce qu’ils vont faire”
TIT	2	10	f8jy	TIT_2_10_f8jy	τὴν διδασκαλίαν τὴν τοῦ Σωτῆρος ἡμῶν, Θεοῦ, κοσμῶσιν	Traduction alternative : “pourra faire honneur à l’enseignement qui est au sujet de Dieu notre Sauveur” ou “amènera les gens à comprendre que l’enseignement sur Dieu notre Sauveur doit être respecté”
TIT	2	10	pn93	TIT_2_10_pn93	Σωτῆρος ἡμῶν, Θεοῦ	C’est-à-dire, « notre Dieu qui nous sauve ». Le pronom *nous* désigne Paul, Tite et tous les chrétiens.
TIT	2	10	xy16	TIT_2_10_xy16	ἡμῶν	L’emploi du pronom possessif **votre** nous dit que Dieu, le Sauveur appartient à Paul, Tite et à tous les Chrétiens  (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	2	11	y44u	TIT_2_11_y44u		Paul encourage Tite à attendre avec impatience la venue de Jésus et à se rappeler que son autorité est venue de Jésus.
TIT	2	11	gp2z	TIT_2_11_gp2z	ἐπεφάνη…ἡ χάρις τοῦ Θεοῦ	Paul parle de la grâce de Dieu comme si c’était une personne qui était arrivée. (Voir : [[rc://fr/ta/man/translate/figs-personification]])
TIT	2	12	qy8k	TIT_2_12_qy8k	παιδεύουσα ἡμᾶς	Paul parle de la grâce de Dieu comme s’il s’agissait d’une personne qui nous apprend à vivre une vie sainte. Le pronom *nous* inclut Paul, Tite, et tous les chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-personification]])
TIT	2	12	abce	TIT_2_12_abce	ἡμᾶς	Le pronom *nous* inclut Paul, Tite, et tous les chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	2	12	lxb3	TIT_2_12_lxb3	τὴν ἀσέβειαν	Paul dit à Tite que la grâce de Dieu nous apprend à rejeter “le mépris que les gens ont pour Dieu”.
TIT	2	12	n3k5	TIT_2_12_n3k5	τὰς κοσμικὰς ἐπιθυμίας	C’est-à-dire, « les désirs intenses pour les choses de ce monde » ou « les désirs pour les plaisirs du péché ».
TIT	2	12	xy19	TIT_2_12_xy19	ἀσέβειαν…εὐσεβῶς	Ce qui est **mauvais**, l’impiété, n’honore pas Dieu. Mais **lui obéir**, la justice, honore Dieu. Ces deux phrases présentent des idées qui contrastent la vie des gens qui honorent Dieu avec celle des gens qui le déshonorent.
TIT	2	12	fk8j	TIT_2_12_fk8j	ἐν τῷ νῦν αἰῶνι	C’est-à-dire, « la période de temps pendant laquelle nous vivons dans ce monde » ou « pendant notre vie ».
TIT	2	13	rz93	TIT_2_13_rz93	προσδεχόμενοι	Traduction alternative : “pendant que nous attendons”
TIT	2	13	xyz6	TIT_2_13_xyz6	τὴν μακαρίαν ἐλπίδα	Ici, ce qui est **bienheureux** est ce que nous espérons, le retour de Jésus-Christ. Traduction alternative : “l’événement merveilleux que nous espérons” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
TIT	2	13	pss7	TIT_2_13_pss7	καὶ ἐπιφάνειαν τῆς δόξης τοῦ μεγάλου Θεοῦ καὶ Σωτῆρος ἡμῶν, Ἰησοῦ Χριστοῦ	La **gloire** représente Jésus lui-même qui apparaîtra glorieusement. Traduction alternative : “c’est-à-dire l’apparition glorieuse de notre grand Dieu et Sauveur Jésus-Christ” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
TIT	2	13	abcf	TIT_2_13_abcf	τὴν μακαρίαν ἐλπίδα, καὶ ἐπιφάνειαν τῆς δόξης	La *bienheureuse espérance* et *l’apparition de la gloire* font référence au même événement. Cela peut être explicité. Traduction alternative : « ce que nous espérons, c’est-à-dire l’apparition bénie et glorieuse ». (Voir : [[rc://fr/ta/man/translate/figs-hendiadys]])
TIT	2	13	xyz7	TIT_2_13_xyz7	τοῦ μεγάλου Θεοῦ καὶ Σωτῆρος ἡμῶν, Ἰησοῦ Χριστοῦ	*[notre] grand Dieu* et *Sauveur* font tous deux référence à une seule personne, Jésus-Christ. Traduction alternative : « de Jésus-Christ, notre grand Dieu et Sauveur ». (Voir : [[rc://fr/ta/man/translate/figs-hendiadys]])
TIT	2	14	niu4	TIT_2_14_niu4	ἔδωκεν ἑαυτὸν ὑπὲρ ἡμῶν	Il s’agit de la mort volontaire de Jésus. Le pronom *nous* désigne Paul, Tite et tous les chrétiens.
TIT	2	14	xy20	TIT_2_14_xy20	ἡμῶν	Le pronom personnel complément d’objet indirect “nous” signifie “chaque personne” dont on parle, y compris Paul, Tite, et tous les Chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	2	14	gxe7	TIT_2_14_gxe7	λυτρώσηται ἡμᾶς ἀπὸ πάσης ἀνομίας	Paul parle de ce que Jésus fait pour nous comme s’il libérait des esclaves de leurs mauvais maîtres. Le pronom *nous* désigne Paul, Tite et tous les chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	2	14	xy21	TIT_2_14_xy21	ἡμᾶς	Le pronom *nous* désigne Paul, Titus et tous les chrétiens. (Voir : [rc://fr/ta/man/translate/figs-exclusive])
TIT	2	14	fjy1	TIT_2_14_fjy1	λαὸν περιούσιον	Le *peuple choisi* représente le peuple de croyants que Dieu a choisi, qu’il a pris pour lui-même, le peuple de Dieu, pour lequel Jésus Christ a donné sa vie. Traduction alternative : « un groupe de personnes qui compte plus que tout pour Jésus ».
TIT	2	14	ii18	TIT_2_14_ii18	ζηλωτὴν καλῶν ἔργων	Traduction alternative : “qui désirent vivement de faire de bonnes actions”
TIT	2	15	abc7	TIT_2_15_abc7	παρακάλει	Paul veut que Tite “pousse les croyants à faire tout ce qu’il a écrit”
TIT	2	15	b94z	TIT_2_15_b94z	ἔλεγχε, μετὰ πάσης ἐπιταγῆς	Si c’est utile, on peut rendre explicites les personnes que Titus doit corriger. Traduction alternative : “corrige avec toute autorité les gens qui ne font pas toutes ces choses” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
TIT	2	15	h15y	TIT_2_15_h15y	μηδείς σου περιφρονείτω	Traduction alternatives : “Ne permets à personne de t’ignorer” ou “Ne permets à personne d’être indifférent à ce que tu dis”
TIT	2	15	xy22	TIT_2_15_xy22	μηδείς σου περιφρονείτω	Vous pouvez le dire positivement : “Assure-toi que tout le monde t’écoute” (Voir : [rc://fr/ta/man/translate/figs-doublenegatives])
TIT	2	15	jbu1	TIT_2_15_jbu1	σου περιφρονείτω	On peut rendre explicite la façon dont les gens ne prêterait pas attention à Tite. Traduction alternative : “Ne permets à personne de refuser d’écouter ce que tu dis” ou “Ne permets à personne de refuser de te respecter” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
TIT	3	intro	zh6x	TIT_3_intro_zh6x		# Tite 3 Remarques générales<br><br>## Structure et mise en forme<br><br>Paul donne des instructions personnelles à Tite dans ce chapitre.<br><br>Le verset 15 termine formellement cette lettre. C’est une façon classique de terminer une lettre dans l’ancien Proche-Orient.<br><br>## Concepts particuliers de ce chapitre<br><br>### généalogies<br><br>Les généalogies (verset 9) sont des séries d’ancêtres ou de descendants qui établissent une filiation. Elles montrent de quelle tribu et de quelle famille une personne est issue. Par exemple, les prêtres venaient de la tribu de Lévi et de la famille d’Aaron. Certaines de ces listes comprenaient des histoires d’ancêtres et même d’êtres spirituels qui étaient utilisées pour discuter d’où venaient les traditions et croyances et l’importance de diverses personnes.
TIT	3	1	y9tr	TIT_3_1_y9tr		Paul continue de donner à Tite des instructions sur la façon d’enseigner aux anciens et aux gens dont il a la charge à Crète.
TIT	3	1	j2sa	TIT_3_1_j2sa	ὑπομίμνῃσκε αὐτοὺς…ὑποτάσσεσθαι	“Répète à tous ce qu’ils savent déjà ; ils doivent se soumettre aux” ou “Continue de leur rappeler de soumettre aux”
TIT	3	1	w3fy	TIT_3_1_w3fy	ἀρχαῖς, ἐξουσίαις, ὑποτάσσεσθαι, πειθαρχεῖν	Traduction alternative : “de faire ce que disent les dirigeants politiques et les autorités gouvernementales, de leur obéir”
TIT	3	1	wa9x	TIT_3_1_wa9x	ἀρχαῖς, ἐξουσίαις	Les mots *pouvoirs* et *autorités* ont des significations semblables et désignent quiconque détient l’autorité dans le gouvernement. Si votre langue cible n’a qu’un seul terme pour cela, il suffit d’utiliser ce terme. (voir [[rc://fr/ta/man/translate/figs-doublet]])
TIT	3	1	xy25	TIT_3_1_xy25	ὑποτάσσεσθαι, πειθαρχεῖν	Dans cette phrase, les deux verbes traduits par *être soumis* et *obéir* sont synonymes et désignent le fait d’obéir. Si votre langue cible n’a qu’un seul terme pour cela, il suffit d’utiliser ce terme. (voir [[rc://fr/ta/man/translate/figs-doublet]])
TIT	3	1	in7u	TIT_3_1_in7u	πρὸς πᾶν ἔργον ἀγαθὸν ἑτοίμους εἶναι	Traduction alternative : “d’être toujours prêts à faire tout ce qui est bien”
TIT	3	2	lug7	TIT_3_2_lug7	βλασφημεῖν	Traduction alternative : “de… insulter”
TIT	3	2	abcx	TIT_3_2_abcx	ἀμάχους εἶναι	Vous pouvez le dire positivement : “être tolérant” (Voir : [[rc://fr/ta/man/translate/figs-doublenegatives]])
TIT	3	3	m9zd	TIT_3_3_m9zd	ἦμεν γάρ ποτε καὶ ἡμεῖς	“C’est parce que nous aussi, nous avons été nous-mêmes”.
TIT	3	3	me7b	TIT_3_3_me7b	ποτε	C’est-à-dire, « dans le temps passé », « il y a longtemps », « auparavant » ou « bien avant cela ».
TIT	3	3	bl8e	TIT_3_3_bl8e	ἡμεῖς	Dans cette phrase, le pronom *nous* signifie « nous-mêmes ». Paul veut que Tite comprenne qu’il se réfère au temps où lui-même, Tite et tous les chrétiens ne se confiaient pas encore en Christ. (Voir : \[rc://fr/ta/man/translate/figs-exclusive\])
TIT	3	3	rrx9	TIT_3_3_rrx9	ἦμεν…ἀνόητοι	Traduction alternative : “nous étions… irréfléchis” ou “nous étions…inconsidérés” ou “nous étions… imprudents”
TIT	3	3	qt8f	TIT_3_3_qt8f	πλανώμενοι, δουλεύοντες ἐπιθυμίαις καὶ ἡδοναῖς ποικίλαις	La passion et le plaisir sont évoqués comme s’ils étaient les maîtres des hommes et avaient fait des esclaves ceux qui croyaient au mensonge. Traduction alternative : “Nous nous étions permis de croire au mensonge selon lequel diverses passions et plaisirs pouvaient nous rendre heureux, puis nous étions incapables de contrôler nos sentiments ou d’arrêter de faire des choses que nous pensions pouvoir nous donner du plaisir” (Voir : [[rc:/ /fr/ta/man/translate/figs-personnification]])
TIT	3	3	xy27	TIT_3_3_xy27	πλανώμενοι, δουλεύοντες ἐπιθυμίαις καὶ ἡδοναῖς ποικίλαις	Vous pouvez traduire cela à la voix active. Traduction alternative : « Diverses passions et plaisirs nous ont menti et nous ont fait perdre notre chemin ». (Voir : \[rc://en/ta/man/translate/figs-activepassive\])
TIT	3	3	tl5n	TIT_3_3_tl5n	ἐπιθυμίαις	Traduction alternative : “la convoitise” et ”les désirs”
TIT	3	3	dec4	TIT_3_3_dec4	ἐν κακίᾳ καὶ φθόνῳ διάγοντες	Ici, *méchanceté* et *l’envie* décrivent le péché. Ces deux mots désignent un type spécifique de péché.
TIT	3	3	y5lp	TIT_3_3_y5lp	στυγητοί	Traduction alternative : “amenant les autres à nous haïr”
TIT	3	4	xy28	TIT_3_4_xy28	δὲ	Il est important de marquer par la conjonction *mais* le contraste entre la mauvaise voie des gens (phrases 18 et 19/30) et la bonté de Dieu (phrase 20/30). (Voir : [[rc://fr/ta/man/translate/grammar-connect- contraste logique]])
TIT	3	4	ba5a	TIT_3_4_ba5a	ὅτε…ἡ χρηστότης καὶ ἡ φιλανθρωπία ἐπεφάνη τοῦ Σωτῆρος ἡμῶν, Θεοῦ	Paul parle de la bonté et de l’amour de Dieu pour l’humanité comme s’ils étaient soudainement devenus visibles aux hommes. (Voir : [[rc://fr/ta/man/translate/figs-personification]])
TIT	3	4	abcg	TIT_3_4_abcg	ὅτε…ἡ χρηστότης καὶ ἡ φιλανθρωπία ἐπεφάνη τοῦ Σωτῆρος ἡμῶν, Θεοῦ	Vous pouvez remplacer les noms abstraits **gentillesse** et **amour** par des adjectifs. Traduction alternative : “quand Dieu, qui nous sauve, a montré combien il est bon et aimant envers les êtres humains” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	3	4	abch	TIT_3_4_abch	ἡμῶν	Dans toute cette phrase, les pronoms *nous* incluent Paul, Tite et tous les chrétiens.
TIT	3	5	n4ug	TIT_3_5_n4ug	κατὰ τὸ αὐτοῦ ἔλεος	La miséricorde est un nom abstrait qu’on peut exprimer de la façon suivante: « Par la qualité divine grâce à laquelle Dieu montre combien il est compatissant, désireux de pardonner au coupable ».
TIT	3	5	k1a6	TIT_3_5_k1a6	λουτροῦ παλινγενεσίας	Paul emploie deux métaphores. Premièrement, il parle du pardon de Dieu pour les pécheurs comme si Dieu les nettoyait physiquement de leur péché avec de l’eau (comme lors du baptême). Deuxièmement, il parle des pécheurs qui ont reçu le pardon de Dieu comme s’ils étaient nés de nouveau et commençaient une nouvelle manière de vivre pour Dieu. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	3	6	fby9	TIT_3_6_fby9	οὗ ἐξέχεεν ἐφ’ ἡμᾶς πλουσίως	Il est commun pour les écrivains du Nouveau Testament de parler du Saint-Esprit comme d’un liquide que Dieu peut verser en grandes quantités. Traduction alternative : « que Dieu nous a donné généreusement ». (Voir : [rc://fr/ta/man/translate/figs-metaphor])
TIT	3	6	xy24	TIT_3_6_xy24	ἡμᾶς	Le pronom, “nous”, inclut Paul, Tite et tous les chrétiens. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	3	6	q9ze	TIT_3_6_q9ze	διὰ Ἰησοῦ Χριστοῦ, τοῦ Σωτῆρος ἡμῶν	« quand Jésus-Christ nous a sauvés »
TIT	3	6	xy23	TIT_3_6_xy23	ἡμῶν	Le pronom possessif “notre” dit que Jésus Christ est le sauveur de Paul, Tite, et de tous les chrétiens. (See: [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	3	7	di3g	TIT_3_7_di3g	δικαιωθέντες	Vous pouvez utiliser la voix active. Traduction alternative : “puisque Dieu nous a déclarés sans péché” (Voir : [[rc://fr/taman/translation/figs-active passive]])
TIT	3	7	q1cm	TIT_3_7_q1cm	κληρονόμοι γενηθῶμεν, κατ’ ἐλπίδα ζωῆς αἰωνίου	On parle du peuple à qui Dieu a fait des promesses comme s’il devait hériter les choses promises, tout comme une personne hérite les biens ou les possessions d’un membre de sa famille. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	3	8	j8md	TIT_3_8_j8md	ὁ λόγος	La *parole* est celle qui vient d’être exprimée dans la phrase précédente (20/30) : Dieu donne librement le Saint-Esprit et la vie éternelle aux croyants, par Jésus.
TIT	3	8	xy29	TIT_3_8_xy29	τούτων	L’expression *ces choses* fait référence aux enseignements de Paul dans les phrases 18, 19 et 20/30. Traduction alternative : « ces enseignements dont je viens de parler ».
TIT	3	8	kqm6	TIT_3_8_kqm6	φροντίζωσιν καλῶν ἔργων, προΐστασθαι	Paul dit à Tite qu’il doit insister que les croyants prennent soin de s’engager dans les bonnes oeuvres. Traduction alternative : “prennent soin de s’engager dans de bonnes œuvres”
TIT	3	9	tzh9	TIT_3_9_tzh9		Paul explique ce que Tite devrait éviter et comment il devrait traiter ceux qui provoquent des querelles parmi les croyants.
TIT	3	9	j1hf	TIT_3_9_j1hf	δὲ…περιΐστασο	Après avoir dit à Tite ce qu’il doit faire, Paul évoque les choses dont Tite doit se protéger et protéger l’église. Traduction alternative : « Alors évitez » ou « Par conséquent, évitez ».
TIT	3	9	xnf9	TIT_3_9_xnf9	μωρὰς…ζητήσεις	Traduction alternative : “les arguments concernant des questions sans importance” ou “les discussions qui n’ont aucune valeur, qui sont absurdes” 
TIT	3	9	qk66	TIT_3_9_qk66	γενεαλογίας	Il s’agit de la science qui a pour objet la recherche des filiations, des relations familiales. Voir l’Introduction à Tite.
TIT	3	9	xu7f	TIT_3_9_xu7f	ἔρεις	Paul parle des disputes, des controverses, des arguments que les dirigeants juifs avaient au sujet des lois religieuses d’Israel. Traduction alternative : “arguments” ou “disputes”
TIT	3	9	ky3n	TIT_3_9_ky3n	νομικὰς	Traduction alternative : “à propos de la loi de Moïse”
TIT	3	10	x3fh	TIT_3_10_x3fh	αἱρετικὸν ἄνθρωπον…παραιτοῦ	Traduction alternative : “Écarte-toi de la personne qui cause la division” ou “Maintient de la distance entre toi et la personne qui sème la discorde”
TIT	3	10	xzx1	TIT_3_10_xzx1	μετὰ μίαν καὶ δευτέραν νουθεσίαν	Paul désire que Tite avertisse une ou deux fois une personne qui cause des divisions avant de la rejeter. Traduction alternative : « après avoir averti cette personne une ou deux fois ».
TIT	3	11	r7pc	TIT_3_11_r7pc	ὁ τοιοῦτος	Il s’agit d’une personne qui cause des divisions, comme celle que Paul vient de décrire. Traduction alternative : « Une personne mauvaise comme celle dont je parle ».
TIT	3	11	inh5	TIT_3_11_inh5	ἐξέστραπται	Paul parle de quelqu’un qui choisit de faire de mauvaises choses comme d’une personne qui quitte le bon chemin pour marcher dans la mauvaise direction. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	3	11	p81k	TIT_3_11_p81k	ὢν αὐτοκατάκριτος	Traduction alternative : “porte judgment sur elle-même”
TIT	3	12	z7i4	TIT_3_12_z7i4		Paul termine la lettre en disant à Tite ce qu’il doit faire après avoir nommé des anciens en Crète et en transmettant les salutations de ceux qui sont avec lui.
TIT	3	12	mba6	TIT_3_12_mba6	ὅταν πέμψω	Traduction alternative : “Lorsque je t’aurai envoyé”
TIT	3	12	c32w	TIT_3_12_c32w	Ἀρτεμᾶν…Τυχικόν	Ce sont des noms d’hommes. (See: [[rc://fr/ta/man/translate/translate-names]])
TIT	3	12	knt1	TIT_3_12_knt1	σπούδασον ἐλθεῖν	Traduction alternative : “dépêchez-vous de venir”
TIT	3	12	xy30	TIT_3_12_xy30	σπούδασον	Le verbe est singulier et s’adresse à Tite seul. Artémas ou Tychique resteraient en Crète, peut-être pour prendre la place de Tite.
TIT	3	12	gdw9	TIT_3_12_gdw9	παραχειμάσαι	Paul dit à Tite qu’il a décidé de rester à Nicopolis pendant l’hiver. Traduction alternative : “d’y rester pour l’hiver”
TIT	3	13	a46f	TIT_3_13_a46f	Ζηνᾶν…Ἀπολλῶν	Ce sont des noms d’hommes.
TIT	3	13	s757	TIT_3_13_s757	καὶ Ἀπολλῶν	Traduction alternative : “et aussi Apollos”
TIT	3	13	j496	TIT_3_13_j496	σπουδαίως πρόπεμψον	Paul veut que Tite prenne soin des préparations du voyage de Zénas et Apollos. 
TIT	3	13	xy31	TIT_3_13_xy31	ἵνα μηδὲν αὐτοῖς λείπῃ	Vous pouvez le dire positivement : “afin qu’ils aient tout ce dont ils ont besoin” (Voir : \[rc://fr/ta/man/translate/figs-doublenegatives\])
TIT	3	14	v7wg	TIT_3_14_v7wg		Paul explique qu’il est important pour tous les croyants de subvenir au nécessaire de ceux qui ont des besoins.
TIT	3	14	fw98	TIT_3_14_fw98	οἱ ἡμέτεροι	Paul fait référence aux croyants en Crète. 
TIT	3	14	xy33	TIT_3_14_xy33	οἱ ἡμέτεροι	Ici, **les nôtres** s’applique aux croyants à qui Paul et Tite demandent à pratiquer de bonnes œuvres. La forme devrait être inclusive. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	3	14	tn24	TIT_3_14_tn24	εἰς τὰς ἀναγκαίας χρείας	Traduction alternative : “leur permettant d’aider les gens qui manquent de choses nécessaires”
TIT	3	14	mji4	TIT_3_14_mji4	ἵνα μὴ ὦσιν ἄκαρποι	Paul parle des gens qui font du bon travail comme s’ils étaient des arbres portant de bons fruits. Traduction alternative : « afin qu’ils ne mènent pas des vies inutiles ». (Voir : [rc://fr/ta/man/translate/figs-metaphor])
TIT	3	14	xy32	TIT_3_14_xy32	ἵνα μὴ ὦσιν ἄκαρποι	Vous pouvez le dire positivement : “de cette façon ils seront fructueux” ou “de cette façon ils seront productifs” (Voir : [rc://fr/ta/man/translate/figs-doublenegatives])
TIT	3	15	j3y2	TIT_3_15_j3y2		Paul termine sa lettre à Tite.
