Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
9:13	vbu6		rc://*/ta/man/translate/grammar-connect-logic-result	pour faire sortir les Israélites	1	Le mot « pour » attache le résultat (Moïse faisant sortir les Israélites de leur esclavage) avec la raison (Dieu a vu leur souffrance).
9:14	cc1y			le peuple	1	Voir « mon peuple » dans [09:13](09/13).
9:14	g85a			JE SUIS QUI JE SUIS	1	Cette description montre que Dieu peut seulement être défini par lui-même, pas par quoi que ce soit que nous connaissons, et il ne peut pas être comparé à quelqu’un d’autre.
9:14	s6sm		rc://*/ta/man/translate/translate-unknown	JE SUIS	1	Ce nom souligne que Dieu est le seul qui a toujours vécu et vivra toujours.
9:14	azoq		rc://*/ta/man/translate/figs-quotesinquotes	« […] Dis-leur aussi : “JE SUIS m’a envoyé”. »	1	C’est une citation double. Toute la citation peut être reformulée de sorte que cette portion soit une citation indirecte : « Dis-leur aussi que JE SUIS t’a envoyé ».
9:14	rpx8		rc://*/ta/man/translate/figs-quotesinquotes	Dis-leur encore : “Je suis l’Éternel, le Dieu de vos ancêtres, Abraham, Isaac et Jacob”. Ceci est mon nom pour l’éternité. »	1	C’est une citation double. Toute la citation peut être reformulée de manière à ce que cette partie soit une citation indirecte : « Dis-leur aussi que je suis Yahvé, le Dieu de vos ancêtres Abraham, Isaac et Jacob, et que ceci est mon nom pour l’éternité ».
9:14	n34m		rc://*/ta/man/translate/translate-unknown	l’Éternel	1	Le nom « Yahvé » (l’Éternel) signifie « IL EST » et exprime que Dieu existe par son propre pouvoir. Personne ne l’a créé.
9:14	kq9x			mon nom	1	Le nom que Dieu s’est donné devant Moïse et tout Israël, c’est « Yahvé », qui est lié à « JE SUIS » et semble signifier « IL EST »
9:15	c6lv			avait peur et ne voulait pas aller	1	Moïse savait que Pharaon voulait le tuer, et il ne croyait pas pouvoir faire ce que Dieu voulait.
9:15	gpzp		rc://*/ta/man/translate/grammar-connect-logic-result	Alors Dieu a envoyé Aaron, le frère de Moïse	1	L'adverbe « alors » relie le résultat (Dieu a envoyé Aaron pour aider Moïse) à la raison (Moïse pensait qu’il ne pouvait pas bien parler).
9:15	do0g			Aaron, le frère de Moïse,	1	Aaron était le vrai frère de Moïse par les mêmes parents Israélites. Aaron était probablement plus âgé que Moise au moins de quelques années.
9:15	nlql			Une histoire biblique tirée de	1	Ces références peuvent être légèrement différentes dans certaines traductions de la Bible.
10:0	cl9s	title		Les Dix plaies	1	Ce titre peut aussi être traduit par « Comment Dieu a fait souffrir les Égyptiens par les dix plaies » ou « Que s’est-il passé lorsque Dieu a fait souffrir les Égyptiens avec les dix plaies ? »
10:1	yxvh			têtu	1	Cela signifie que le pharaon refuserait d’obéir à Dieu. Vous pouvez aussi ajouter : « têtu et a refusé d’écouter (ou d’obéir) ».
10:1	yx6j			devant Pharaon	1	Il serait peut-être plus clair de dire : « au palais de Pharaon pour lui parler ».
10:1	z7kf		rc://*/ta/man/translate/figs-quotesinquotes	« Voici ce que dit le Dieu d’Israël : “Laisse aller mon peuple !” »	1	C’est une citation double. Toute la citation peut être reformulée pour en faire une citation indirecte : « Le Dieu d’Israël a dit de laisser son peuple partir ».
10:1	mwuv			le Dieu d’Israël	1	Une autre façon de traduire cela serait « Dieu, qui a choisi de faire des Israélites son peuple » ou « Dieu, qui gouverne le peuple d’Israël » ou encore « le Dieu que les enfants d’Israël vénèrent »
10:1	txyw		rc://*/ta/man/translate/figs-imperative	Laisse aller mon peuple !	1	C’est un ordre. Une autre façon de le dire serait : « Permets à mon peuple de partir librement ! » ou « Libère mon peuple afin qu’il quitte l’Égypte ! »
10:1	brol			mon peuple	1	Voir « mon peuple » dans [09:13](09/13).
10:1	ai12			Pharaon ne les a pas écoutés	1	Cela peut être traduit par « il n’a pas prêté attention » ou « il n’a pas obéi ».
10:1	skla			écoutés	1	Cela pourrait être traduit par « pris garde » ou « obéi ».
10:1	wirf		rc://*/ta/man/translate/grammar-connect-logic-contrast	Au lieu de libérer les Israélites	1	La locution « au lieu de » lie ce que Moïse et Aaron ont demandé à Pharaon de faire (écouter Dieu et laisser partir son peuple) avec ce que Pharaon a fait (les faire travailler encore plus dur).
10:1	oid5		rc://*/ta/man/translate/figs-exclamations	il les a forcés à travailler encore plus dur !	1	Ceci est une affirmation forte que Pharaon n’a non seulement pas libéré les Israélites, mais qu’il leur a rendu la vie encore plus dure !
10:2	zzk9			le peuple	1	Il s’agit du peuple d’Israël, aussi appelé « les Israélites ».
10:2	tt0v		rc://*/ta/man/translate/grammar-connect-logic-result	Alors, Dieu a envoyé	1	L'adverbe « Alors » lie la cause (Pharaon a continuellement refusé de libérer le peuple) au résultat (Dieu a envoyé dix plaies terribles sur l’Égypte).
10:2	sdis			dix plaies terribles	1	Une plaie est quelque chose de très mauvais ou terrible qui arrive à quelqu’un ou à quelque chose. Une plaie se réfère généralement à quelque chose qui touche de nombreuses personnes ou affecte une grande région géographique. Un autre mot pour « plaie » serait « catastrophe ».
10:2	y1oh			tous les dieux d’Égypte	1	Il peut être plus clair de dire « tous les dieux que le peuple égyptien adorait ». Les habitants d’Égypte adoraient toutes sortes de faux dieux. Certains de ces faux dieux n’existaient pas. D’autres faux dieux qu’ils adoraient étaient en réalité des démons. Les démons ne sont pas aussi puissants que le Dieu d’Israël.
10:3	htkr			a changé l’eau du Nil en sang	1	Certaines langues pourraient dire : « a transformé l’eau du Nil en sang ». À la place de l’eau dans le fleuve, il y avait du sang. Donc les poissons mouraient et les gens n’avaient pas d’eau à boire.
10:3	pr25		rc://*/ta/man/translate/grammar-connect-logic-contrast	Malgré cela, Pharaon n’a pas	1	La locution « Malgré cela » met en opposition Dieu transformant le fleuve en sang et Pharaon ne laissant pas partir les Israélites.
10:4	me52			Dieu a fait monter des grenouilles sur toute l’Égypte	1	Cela pourrait être traduit par : « Dieu a fait apparaître beaucoup de grenouilles dans toute l’Égypte »
10:4	wabs		rc://*/ta/man/translate/figs-synecdoche	Pharaon a endurci son cœur	1	Il s’est à nouveau entêté et a refusé d’obéir à Dieu. Ici « cœur » est une synecdoque qui fait référence à Pharaon. On parle de son attitude obstinée comme si son cœur était dur. Traduction alternative : « Pharaon s’est endurci ».
10:4	lrs1		rc://*/ta/man/translate/figs-metaphor	Pharaon a endurci son cœur	1	Il s’est à nouveau entêté et a refusé d’obéir à Dieu. On parle de l’entêtement de Pharaon comme d’un cœur dur. Traduction alternative : « Pharaon est devenu têtu »
10:5	k5li			Dieu a envoyé une plaie	1	Cela pourrait être traduit par : « Dieu a causé une plaie » ou « Dieu a envoyé une plaie (de moucherons) sur le pays d’Égypte ».
10:5	leqn		rc://*/ta/man/translate/translate-unknown	moucherons	1	C’étaient des insectes minuscules et piquants qui volaient en grands essaims pénibles, se posant sur toutes les personnes et tous les animaux d’Égypte.
10:5	cp4h			mouches	1	C’étaient de plus gros insectes volants qui étaient à la fois exaspérants et destructeurs. Il y avait tellement de ces mouches qu’elles couvraient tout, même l’intérieur des maisons des Égyptiens.
10:5	vfbt			endurci son cœur	1	Voir la note dans [10:04](10/04).
10:6	ub83			le bétail	1	Il s’agit de grands animaux que les Égyptiens utilisaient pour les aider dans leur travail, tels que les chevaux, les ânes, les chameaux, les bovins, les moutons et les chèvres.
10:6	seuz			le cœur de Pharaon était endurci	1	Voir la note [10:04](10/04).
10:7	xxci			Dieu a endurci le cœur de Pharaon	1	Dieu a causé le prolongement de l’obstination de Pharaon. Voir aussi la note de [10:04](10/04).
10:8	u0ar			Après cela	1	Cela signifie, après les plaies douloureuses qui ont apparu sur la peau des Égyptiens.
10:8	ll7d			Dieu a fait tomber de la grêle	1	Dieu a fait tomber du ciel de la grêle.
10:8	azgv		rc://*/ta/man/translate/translate-unknown	la grêle	1	La grêle ressemble à des morceaux de glace qui tombent des nuages comme la pluie. Ces morceaux peuvent être très petits ou très gros. Les plus gros vont blesser ou tuer tout ce sur quoi ils tombent.
10:8	nkuk		rc://*/ta/man/translate/figs-quotations	Pharaon a appelé Moïse et Aaron et leur a dit : « J’ai fait le mal. Vous pouvez vous en aller. »	1	C’est une citation directe qu’on peut transformer en une citation indirecte : « Pharaon a appelé Moïse et Aaron et leur a dit qu’il avait fait le mal, et il leur a dit qu’ils pouvaient partir ».
10:8	np29			Vous pouvez vous en aller	1	Le mot « vous » fait référence à Moïse, Aaron, et les Israélites.
10:9	bafa			endurci son cœur	1	Voir note dans [10:04](10/04).
10:10	ak4y		rc://*/ta/man/translate/translate-unknown	une invasion de sauterelles	1	Les locustes sont des sauterelles qui volent ensemble en essaims, ou en grands groupes, et qui peuvent détruire de grandes superficies de toutes sortes de plantes et de cultures vivrières en les mangeant.
10:10	t2bo			grêle	1	La grêle se compose de morceaux de glace qui tombent du ciel comme la pluie.
10:11	q1nq			Dieu a envoyé des ténèbres	1	Dieu a causé une obscurité qui a couvert – ou s’est répandue sur – presque toute l’Égypte. En d’autres termes, Dieu a fait disparaitre la lumière dans cette partie de l’Égypte.
10:11	sfei			pendant trois jours	1	Cette obscurité était plus noire que les ténèbres d’une nuit ordinaire, et a continué à être totalement noire pendant trois jours entiers.
10:12	yd5g			ces neuf plaies	1	Cela signifie les neuf catastrophes que Dieu avait déjà faites.
10:12	u5zg		rc://*/ta/man/translate/grammar-connect-logic-result	Puisque Pharaon n’a pas voulu écouter, Dieu a préparé une dernière plaie qui va lui faire changer d’avis.	1	La conjonction « puisque » relie l’action de Dieu envoyant une dernière plaie avec le fait que Pharaon a refusé de laisser les Israélites partir en liberté.
10:12	ql3y			Puisque Pharaon n’a pas voulu écouter	1	Cela peut être traduit par « puisque Pharaon refusait d’accomplir ce que Dieu lui disait de faire » ou « puisque Pharaon a refusé d’obéir à Dieu »
10:12	yvj3			va lui faire changer d’avis	1	Une autre façon de traduire cela serait : « cette dernière plaie va pousser Pharaon à changer d’avis en ce qui concerne Dieu et par conséquent il va donner aux Israélites la liberté de partir »
10:12	ptp3			Une histoire biblique tirée de	1	Ces références peuvent être légèrement différentes dans certaines traductions de la Bible.
11:0	ix6e	title		La Pâque juive	1	Ce titre peut aussi être traduit par « Comment Dieu a fait la fête de Pâque » ou « Pourquoi Dieu a-t-il fait la fête de Pâque ? »
11:0	n2m1	title		La Pâque	1	Le mot « Pâque » est le nom d’une fête juive au cours de laquelle ils célèbrent le fait que Dieu a passé par-dessus leurs maisons et n’a pas tué leurs premiers nés lorsqu’il a tué les Égyptiens.
11:1	li4e			tous les premiers-nés mâles d’Égypte, tant parmi les hommes, que parmi les animaux	1	Cela peut être traduit par « le fils aîné de chaque famille et la première progéniture mâle de chacun de leurs animaux »
11:2	kcm6			Dieu a offert	1	Dieu est le seul qui pouvait fournir le moyen de sauver les fils des Israélites de la mort.
11:2	mts9		rc://*/ta/man/translate/figs-activepassive	sauver le premier-né des familles qui ont cru en lui	1	Ceci peut être énoncé sous forme active : « pour sauver le fils aîné de ceux qui ont cru en lui »
11:2	h2ti			agneau sans défaut	1	Cela signifie : « un jeune mouton ou une chèvre sans imperfection ou sans défaut »
11:3	agmt			du pain sans levain	1	Le levain est quelque chose qui est mélangé à la pâte à pain et qui fait lever le pain pendant qu’il cuit. Cela pourrait être traduit par : « fait sans rien qui pourrait le faire se lever ». Faire le pain avec du levain aurait pris beaucoup plus de temps, donc la cuisson du pain sans levain a été une façon de se préparer à quitter l’Égypte rapidement.
11:3	gfm0			dès la fin du repas	1	Cela signifie qu’ils devaient être prêts à partir dès qu’ils auraient mangé.
11:4	h51b			tous les fils aînés	1	Cela signifie chaque fils premier-né des familles qui n’avaient pas fait le sacrifice du sang, c’est-à-dire les Égyptiens. Pour que ce soit clair, vous pouvez ajouter : « tous les fils premiers-nés égyptiens » (puisque toutes les familles israélites avaient mis le sang sur leurs poteaux).
11:5	fmme			a passé par-dessus	1	Cela signifie que Dieu a passé devant ces maisons et ne s’est pas arrêté pour tuer ceux qui s’y trouvaient. De cette phrase est venu le nom de la fête juive : « la Pâque »
11:5	c5c0			Ils ont été sauvés	1	Dieu n’a pas tué leurs fils premiers-nés.
11:5	miof			grâce au sang de l’agneau	1	Cela pourrait être traduit par « parce que le sang de l’agneau était sur leurs portes ». Dieu a vu qu’ils avaient tué leur agneau comme il l’avait commandé, donc il n’a pas tué leurs fils.
11:6	jqd1			n’ont pas cru en Dieu, et ils n’ont pas obéi à ses commandements	1	Dans certaines langues, il peut être plus naturel et évident de dire : « ne croyait pas Dieu et donc ils n’ont pas obéi à ses instructions »
11:6	vx8e			n’a pas épargné	1	Il n’a pas ignoré leurs maisons. Au contraire, il s’est arrêté à chaque maison et y a tué leur fils aîné.
11:7	b1xj			Du fils premier-né de l’homme en prison, au fils premier-né de Pharaon	1	Voici une façon de dire que le fils premier-né de tout le monde est mort, du fils de la personne la moins importante jusqu’au fils de la personne la plus importante.
11:8	au31			a appelé Moïse	1	Cela signifie que Pharaon a dit à ses serviteurs de faire venir Moïse et Aaron.
11:8	x53b		rc://*/ta/man/translate/figs-quotations	et leur a dit : « Prenez les Israélites et partez immédiatement ! »	1	C’est une citation directe. On peut la transformer en une citation indirecte : « Il leur a dit de prendre les Israélites et de quitter l’Égypte immédiatement ! »
11:8	q4zl			et leur a dit	1	« Pharaon a dit à Moïse et à Aaron » pourrait être traduit dans certaines langues par : « il leur a dit » ou « après leur arrivée, Pharaon leur a dit »
11:8	snz8		rc://fr/ta/man/translate/figs-exclamations	Prenez les Israélites et partez immédiatement !	1	C’est un ordre. L’ordre est écrit avec une exclamation parce que Pharaon avait enfin peur de Dieu et voulait que les Israélites quittent l’Égypte de toute urgence.
11:8	m2fv		rc://*/ta/man/translate/figs-go	Prenez	1	Le mouvement est loin de l’orateur, Pharaon. Moïse reçoit l’ordre d’emmener les Israélites loin de Pharaon et de continuer à avancer avec eux jusqu’à ce qu’ils aient entièrement quitté l’Égypte, le pays où se trouve l’orateur.
11:8	g1xq			Une histoire biblique tirée d’Exode	1	Ces références peuvent être légèrement différentes dans certaines traductions de la Bible.
12:0	hn0o	title		L’Exode	1	Ce titre peut aussi être traduit par « Ce qu’il s’est passé lorsque les Israélites ont quitté l’Égypte » ou « Que s’est-il passé lorsque les Israélites ont quitté l’Égypte ? »
12:0	jffg	title		Exode	1	Le mot « Exode » signifie « partir » ou « sortir de ».
12:1	gpru			Ils n’étaient plus esclaves	1	Cela pourrait être traduit par : « Leur esclavage était fini »
12:1	ijam			étaient en route	1	Certaines langues peuvent utiliser un mot plus spécifique comme « ont voyagé », car ils allaient parcourir une longue distance jusqu’à la Terre Promise.
12:1	r0b7			Terre Promise	1	C’est la terre que Dieu avait promis de donner aux descendants d’Abraham.
12:2	ku4z		rc://*/ta/man/translate/figs-metaphor	Une colonne de nuée	1	Cela pourrait être traduit par « un grand nuage » ou « un nuage en forme de colonne ». Ce n’était pas une colonne concrète comme celles qui soutiennent un bâtiment. Cela ressemblait en apparence à une colonne, mais qui était faite de nuages.
12:2	gr8g		rc://*/ta/man/translate/figs-metaphor	la colonne de feu	1	C’était une colonne de feu qui pendait ou flottait dans l’air devant les Israélites. Ce n’était pas une colonne concrète comme celles qui soutiennent un bâtiment. Cela ressemblait en apparence à une colonne, mais elle était faite de feu.
12:2	eloi			les a conduits	1	Dieu leur a montré le chemin en faisant bouger la colonne devant eux afin qu’ils puissent la suivre.
12:3	oaa9			Peu de temps après	1	Probablement au moins deux jours s’étaient écoulés. Pour que ce soit clair, cela peut être traduit par : « Après quelques jours » ou « quelques jours après que les Israélites ont quitté l’Égypte »
12:3	io81		rc://*/ta/man/translate/figs-idiom	Pharaon et son peuple ont changé d’avis	1	Cette phrase signifie « ont commencé à penser différemment de ce qu’ils avaient fait auparavant ». Les Égyptiens n’ont pas remplacé leurs pensées, mais ont pris une décision qui n’était pas la même que celle qu’ils avaient prise avant. Ils ont décidé que les Israélites devaient partir, mais ont ensuite décidé que ce n’était pas le bon choix et qu’ils auraient dû les garder en tant qu’esclaves. Certaines langues ne possèdent peut-être pas cette expression et expriment cette idée de manière plus directe.
12:3	euwa		rc://*/ta/man/translate/grammar-connect-logic-result	Ils sont donc	1	La conjonction de coordination « donc » relie le résultat (les Égyptiens sont partis à la poursuite des Israélites) avec la raison (parce qu’ils voulaient rendre les Israélites esclaves à nouveau).
12:4	sa04			ils étaient pris au piège	1	Une autre façon de dire cela serait : « il n’y avait nulle part où ils pouvaient aller pour s’échapper parce que les Égyptiens étaient derrière eux et la mer Rouge était en face d’eux »
12:4	see5		rc://*/ta/man/translate/figs-rquestion	Pourquoi avons-nous quitté l’Égypte	1	Les Israélites ne cherchaient pas les raisons. À ce moment-là, ils regrettaient d’avoir quitté l’Égypte parce qu’ils avaient peur (même si la vie leur avait été très difficile là-bas). On pourrait dire : « Nous n’aurions pas dû quitter l’Égypte ! »
12:4	qwxd		rc://*/ta/man/translate/figs-exclamations	Nous allons mourir !	1	C’est une déclaration forte qui exprime leur certitude que les Égyptiens les tueraient.
12:5	hojo		rc://fr/ta/man/translate/figs-exclamations	Arrêtez d’avoir peur !	1	C’est à la fois un ordre et aussi une exclamation. Moïse disait très clairement aux gens qu’ils avaient tort de craindre au lieu de croire que Dieu allait les protéger.
12:5	jdub			Dieu va combattre pour vous aujourd’hui et il va vous sauver	1	Une autre manière de dire cela serait : « Aujourd’hui, Dieu va vaincre les Égyptiens pour vous et va les empêcher de vous faire du mal. »
12:5	luus		rc://*/ta/man/translate/figs-pronouns	va combattre pour vous aujourd’hui et il va vous sauver.	1	Les deux occurrences du pronom « vous » se rapportent à tous les Israélites.
12:5	pwj2		rc://*/ta/man/translate/figs-quotations	Alors Dieu a dit à Moïse : « Dis au peuple de s’avancer vers la mer Rouge. »	1	C’est une citation directe. On peut aussi utiliser une citation indirecte : « Alors, Dieu a dit à Moïse de commander au peuple de s’avancer vers la mer Rouge ».
12:5	tm7z			s’avancer	1	Certaines langues seront plus précises en disant « marcher. »
12:6	phoe		rc://*/ta/man/translate/grammar-connect-time-sequential	Puis, la colonne de nuée	1	L’adverbe « puis » relie les instructions que Dieu a données aux Israélites d’avancer avec l’action de Dieu déplaçant la colonne de nuée derrière eux.
12:6	j6al			colonne de nuée	1	Voir comment cette expression se traduit en [12:02](12/02)
12:7	k357			étendre sa main sur la mer	1	Cette expression peut être traduite par : « élever sa main vers la mer ». C’était un geste pour indiquer que Dieu faisait ce miracle par l’entremise de Moïse.
12:7	d378		rc://*/ta/man/translate/grammar-connect-logic-result	Alors Dieu a fait	1	L’adverbe « alors » relie l’action d’obéissance de Moïse élevant sa main vers la mer avec le résultat : Dieu a fait souffler le vent.
12:7	ird5		rc://*/ta/man/translate/grammar-connect-logic-result	ce qui	1	La locution conjonctive « ce qui » relie le vent qui soufflait avec la conséquence : le passage dans la mer pour les Israélites.
12:8	p11t			ont marché	1	Ce verbe peut se traduire par « se sont déplacés » ou « sont allés »
12:8	wdtp			entre les eaux qui formaient une muraille des deux côtés	1	Cette expression peut se traduire par : « et les eaux de chaque côté d’eux se tenaient droites et hautes comme un mur »
12:10	ymxj		rc://*/ta/man/translate/grammar-connect-logic-result	Ainsi, ils ont emprunté le même passage que les Israélites	1	L’adverbe « ainsi » relie l’effet (les Égyptiens ont emprunté le même passage que les Israélites dans la mer) avec la cause (Dieu a déplacé le nuage).
12:10	d0dz			dans la mer	1	Il y avait une bande de terre sèche le long du passage au fond de la mer, avec une muraille d’eau de chaque côté.
12:10	bqwv		rc://*/ta/man/translate/grammar-connect-logic-contrast	Mais Dieu	1	« Mais » établit un contraste entre le mouvement des Israélites que Dieu a causé en ouvrant le chemin et le manque de mouvement des Égyptiens causé par la panique et les chars qui se bloquent.
12:10	z55l			une panique	1	Ceci peut être traduit par « une peur » ou « une confusion »
12:10	dgn0			a fait que leurs chars se sont coincés	1	Les chars ne pouvaient plus bouger.
12:10	xzvg		rc://fr/ta/man/translate/figs-exclamations	Fuyez !	1	C’est en même temps un ordre et une exclamation. Les Égyptiens ont eu très peur quand ils ont compris qu’ils couraient un grand danger.
12:10	p6sp		rc://*/ta/man/translate/figs-exclamations	Dieu combat pour les Israélites !	1	Cette exclamation souligne la crainte des Égyptiens lorsqu’ils ont compris que Dieu les avait conduits dans un piège et qu’ils allaient se noyer dans la mer.
12:11	fvpb		rc://*/ta/man/translate/grammar-connect-time-sequential	Alors, Dieu	1	L’adverbe « alors » relie l’action des Israélites qui arrivent en toute sécurité de l’autre côté de la mer aux instructions que Dieu donne à Moïse de refermer le passage dans la mer.
12:11	rm5d			d’étendre de nouveau sa main	1	Une autre façon de traduire serait : « élever sa main vers la mer encore une fois » ou comme un ordre direct, c’est-à-dire, Dieu dit à Moïse : « Étends encore ton bras »
12:11	neiy			a repris sa place normale	1	Une autre façon de traduire serait « Dieu a recouvert l’endroit où était le chemin » ou « il a rempli complètement le chemin » ou encore « la mer est revenue à l’emplacement où elle était avant sa séparation par Dieu »
12:11	h86m			Toute l’armée égyptienne	1	Ceci peut être traduit par : « tout le monde dans l’armée égyptienne »
12:12	i0hy		rc://*/ta/man/translate/grammar-connect-logic-result	Quand les Israélites ont vu	1	La conjonction « quand » relie la cause (la destruction de l’armée égyptienne par Dieu) avec l’effet (les Israélites ont pris confiance en Dieu).
12:12	ut1t			ils ont eu confidence en Dieu	1	Cela signifie que le peuple a placé à ce moment-là leur confiance en Dieu sachant qu’il est puissant et qu’il les protégera.
12:13	kyyo			beaucoup réjouis	1	Une autre façon de traduire serait « étaient très heureux et l’ont démontré avec enthousiasme » ou « l’ont montré de tout leur cœur » ou « de toute leur force ».
12:13	rkg0			étaient libres d’adorer	1	Dieu a libéré ou plutôt sauvé les Israélites de leur esclavage en Égypte pour qu’ils puissent le servir.
12:13	n3g7			louer Dieu	1	Dans quelques langues, d’autres façons de traduire seraient : « exalter le nom de Dieu » ou « dire que Dieu est merveilleux »
12:13	sv77		rc://*/ta/man/translate/grammar-connect-logic-result	car il les avait sauvés	1	La conjonction « car » relie le résultat (les Israélites se sont réjouis) avec la cause (Dieu les a sauvés).
12:14	fdyq			pour qu’ils se rappellent comment Dieu a vaincu	1	Une autre façon de traduire serait « se souvenir souvent de la façon dont Dieu avait vaincu ». Ici, le mot « se rappeler » veut dire ne pas oublier, mais cela veut dire aussi commémorer quelque chose formellement.
12:14	wdvz		rc://*/ta/man/translate/grammar-connect-logic-goal	pour qu’ils se rappellent	1	La locution « pour qu’ils » indique le but ou l’objectif de la fête : de rappeler aux Israélites et à leurs descendants la façon dont Dieu les a délivrés.
12:14	vkq6			la Pâque	1	Une autre façon de traduire serait « les activités associées à la Pâque » ou « la fête de la Pâque » ou « le repas de la Pâque »
12:14	za3k			agneau sans défaut	1	L’expression « sans défaut » s’applique ici à un agneau sans maladie, sans imperfection. Une autre façon de le dire serait « en bonne santé et sans difformité »
12:14	j7cj			pain sans levain	1	Une autre façon de le dire serait « pain sans levure » ou « pain sans ferment ». Voir comment vous avez traduit cette expression dans [11:03](11/03).
12:14	hpd2			Une histoire biblique tirée d’Exode	1	Ces références pourraient être légèrement différentes dans d’autres traductions bibliques.
13:0	ert4	title		L’Alliance de Dieu avec Israël	1	Ce titre peut aussi être traduit par « Comment Dieu a fait une alliance avec Israël » ou « Comment Dieu a-t-il fait alliance avec Israël ? »
13:1	qlrt		rc://*/ta/man/translate/writing-newevent	Après les avoir fait passer par la mer Rouge	1	C’est un nouvel événement qui commence.
13:1	z9wk		rc://*/ta/man/translate/writing-background	C’était sur cette même montagne que Moïse avait vu le buisson en feu.	1	C’est une information de contexte à propos de la montagne vers laquelle les Israélites se sont rendus.
13:1	l08x			buisson en feu	1	Avant le retour de Moïse en Égypte, Dieu lui avait parlé au sein d’un arbuste qui était en feu, mais qui n’était pas brûlé par le feu. Voir [09:12](09/12).
13:1	dij0			ont installé leurs tentes	1	Les Israélites ont dû parcourir une grande distance de l’Égypte vers la Terre Promise. Ils ont donc pris des tentes avec eux afin qu’ils puissent les utiliser comme abris et y dormir le long du chemin. Certaines langues pourraient traduire ceci par : « ont mis leurs tentes en place »
13:1	nb04			au pied de la montagne	1	Cela pourrait être traduit par « au bas de la montagne ». Il s’agit du terrain qui est situé à l’endroit où le sol commence à monter rapidement vers le sommet d’une montagne.
13:2	wvex		rc://*/ta/man/translate/figs-imperative	Vous devez toujours m’obéir et garder l’Alliance que je fais avec vous	1	C’est un ordre direct de Dieu à tous les Israélites.
13:2	nme6			garder l’Alliance	1	Cela pourrait être traduit par : « faire ce que mon alliance vous oblige à faire ». Obéir et garder l’alliance ne sont pas deux choses différentes. Une façon de clarifier cela serait de dire « obéissez-moi en gardant mon alliance ». Dieu va bientôt leur dire ce que son alliance exige.
13:2	ei3l		rc://*/ta/man/translate/grammar-connect-condition-hypothetical	Si vous faites cela	1	La conjonction « si » présente une instruction conditionnelle. Les bénédictions dépendaient de l’obéissance des Israélites aux commandements que Dieu leur avait donnés.
13:2	w7rh			ma possession la plus précieuse	1	Cela pourrait être traduit par : « Vous serez ma possession que j’aime le plus » ou « Vous serez le peuple que je chéris plus que tous les autres » ou « Vous serez le précieux peuple qui m’appartient »
13:2	ca9i			vous serez […] un royaume de prêtres	1	Cela pourrait être traduit par : « Je serai votre roi et vous serez comme des prêtres ». Les Israélites devaient annoncer aux autres nations la connaissance de Dieu. Ils devaient être médiateurs entre Dieu et les nations, tout comme les prêtres dans la nation d’Israël étaient des médiateurs entre Dieu et les Israélites.
13:2	dltd		rc://*/ta/man/translate/figs-metaphor	un royaume de prêtres	1	Dieu parle de son peuple comme s’ils étaient des prêtres. Traduction alternative : « un royaume de gens qui servent comme des prêtres » ou « un royaume de gens qui font ce que font les prêtres ».
13:3	u3ol			Pendant trois jours	1	En d’autres termes, trois jours après leur arrivée au Mont Sinaï Dieu leur a parlé pour la première fois.
13:3	xf7e			le peuple s’est préparé	1	Il s’agit d’une cérémonie de purification en préparation de la rencontre de Dieu. Cela pourrait être traduit par « être prêt à rencontrer Dieu » ou « se préparer à rencontrer Dieu »
13:3	rbik			le son de plus en plus fort d’une trompette	1	Cela pourrait être traduit par « de forts bruits qui provenaient de schofars » ou « on a soufflé dans des cornes de bélier et cela a produit un grand bruit » ou « ils ont entendu le grand bruit de cornes (ou trompettes) dans lesquelles on soufflait ». Ce ne sont pas les hommes qui soufflaient dans ces cornes, mais Dieu ou ses anges. Le schofar, en hébreu, est un instrument fait en corne de bélier. Le son du schofar a été utilisé ce jour-là pour appeler les gens à se rassembler au pied de la montagne pour y rencontrer Dieu.
13:3	ll7n			Moïse est monté seul	1	Cela pourrait être traduit par : « Dieu a permis à Moïse de monter, mais il n’a pas permis à quelqu’un d’autre de monter »
13:4	ycp5			Dieu a fait une alliance avec le peuple	1	Ce que Dieu a déclaré ensuite est le contenu de l’Alliance, c’est-à-dire, il a dit aux gens ce qu’ils doivent obéir. Cela pourrait être traduit par : « Dieu leur a expliqué l’Alliance » ou « Dieu a fait cette Alliance avec eux »
13:4	g6j9			Je suis Yahvé, ton Dieu.	1	Dans certaines langues, il pourrait être plus naturel de modifier l’ordre et de dire : « je suis ton Dieu : Yahvé ». Assurez-vous que cela ne veuille pas dire que les Israélites avaient plus d’un Dieu. Il doit être clair que l’Éternel est le seul Dieu. Une autre façon de traduire serait « Yahvé, qui est ton Dieu » ou « ton Dieu, dont le nom est l’Éternel »
13:4	pjc7			qui t’ai sauvé de l’esclavage	1	Cela pourrait être traduit par : « qui vous ai affranchis (de l’esclavage) »
13:4	ciz9		rc://*/ta/man/translate/figs-imperative	N’adore aucun autre dieu.	1	C’est un ordre de Dieu à tous les Israélites.
13:5	a1az			Déclaration de connexion	1	(Dieu continue de parler à Moïse)
13:5	a6bz		rc://*/ta/man/translate/figs-imperative	Ne fais pas d’idoles	1	C’est un ordre de Dieu à tous les Israélites.
